unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786476443.8557978,0,2,4.09,50,180,405,19,19974012,19813300,188872,0,5404,1
1786476444.3958712,0,164,4.97,50,180,405,26,19711004,19812616,436080,0,28163,25
1786476444.9140186,0,166,7.46,51,1680,9001,29,19620356,19812376,469808,0,37822,25
1786476445.432113,0,166,12.06,51,1762,9001,31,19592956,19813432,1643780,0,57380,25
1786476445.9521208,0,166,12.21,51,1755,9001,35,19577660,19813872,3516260,0,86931,25
1786476446.471128,0,166,12.20,51,1755,9001,36,19510496,19814060,5690804,0,121116,25
1786476446.9921565,0,166,12.20,51,1755,9001,34,19512028,19815516,7992756,0,157365,25
1786476447.5119054,0,166,12.19,52,1755,9001,29,19488612,19825596,10565044,0,197887,25
1786476448.030009,0,166,12.26,52,1755,9001,22,19497432,19823244,13350348,0,241763,25
1786476448.5482001,0,166,12.31,52,1755,9001,20,19462184,19822796,16004556,0,283570,25
1786476449.0720093,0,166,12.24,52,1755,9001,20,19727524,19654924,16770208,0,295639,25
1786476449.6040862,0,166,12.28,52,1755,9001,17,20006524,19334864,17614496,0,308907,25
1786476450.1520603,0,166,12.23,52,1755,9001,17,20327944,18861692,18026104,0,315416,25
1786476450.7121956,0,166,12.29,52,1755,9001,17,20696460,18382052,18396660,54180,322203,25
1786476451.2841282,0,166,12.27,52,1755,9001,17,20827992,18139576,19125928,120864,334856,25
1786476451.8090975,0,166,12.25,53,1755,9001,17,20944284,18057836,20153180,120864,351201,25
1786476452.3942509,0,166,12.27,53,1755,9001,18,21392864,17484072,20463232,120852,356092,31
1786476452.9681542,0,166,12.42,53,1755,9001,18,21785608,16949168,20848992,126196,362245,31
1786476453.526533,0,166,12.43,53,1755,9001,16,22114952,16517804,21146040,143436,367239,31
1786476454.1063921,0,166,12.42,53,1755,9001,21,22304324,16290588,21450184,155780,373363,43
1786476455.0251935,0,166,12.29,53,1755,9001,20,22473404,16089192,21606980,155780,375864,43
1786476456.3243499,0,164,12.31,53,1755,9001,16,22116848,16352448,21001380,109732,384426,14724
1786476456.8562706,0,164,12.42,54,1755,9001,16,22080860,16402180,282180,102836,384547,15676
1786476457.3792815,0,2,12.41,54,1755,9001,14,22321924,16532644,0,0,384913,20354
1786476457.8983388,0,2,12.59,54,1755,9001,11,22250032,16553620,0,0,384913,20354
1786476458.4165466,0,2,12.58,54,1755,9001,11,22299268,16577696,0,0,384913,20354
1786476458.9362624,0,2,12.38,54,1755,9001,14,22218688,16602364,0,0,384913,20354
1786476459.4583895,0,2,12.38,54,1755,9001,23,22237856,16613320,0,0,384913,20354
1786476459.9806805,0,2,5.34,53,180,405,28,22146908,16684660,0,0,384913,20354
1786476460.504439,0,2,5.34,53,180,405,27,22083760,16686900,0,0,384913,20354
1786476461.0267546,0,2,4.42,53,180,405,28,22095352,16692056,0,0,384913,20354
1786476461.5494668,0,2,4.42,53,180,405,28,22142948,16836080,0,0,384913,20354
1786476462.0706148,0,2,4.25,53,180,405,25,22087608,16873244,0,0,384913,20354
1786476462.5934942,0,2,4.25,53,180,405,24,22073700,16885360,0,0,384913,20354
1786476463.1178017,0,2,4.18,53,180,405,21,22096384,16887160,0,0,384913,20354
1786476463.6407526,0,2,4.21,53,180,405,25,22069140,16889760,0,0,384913,20354
1786476464.1635678,0,2,4.21,53,180,405,24,22006192,16962656,0,0,384913,20354
1786476464.6857498,0,2,4.22,53,180,405,22,21985632,16969220,0,0,384913,20354
1786476465.2159176,0,2,4.22,53,180,405,23,22006708,16978316,0,0,384913,20354
1786476465.7376857,0,2,4.25,53,180,405,25,21980764,16995428,0,0,384913,20354
1786476466.2639546,0,2,4.25,53,180,405,26,21952864,17097896,0,0,384913,20354
1786476466.7878323,0,2,4.27,53,180,405,25,21883064,17193384,0,0,384913,20354
1786476467.3097653,0,2,4.27,53,180,405,27,21752416,17363820,0,0,384913,20354
1786476467.8329132,0,2,4.25,53,180,405,25,21701952,17391544,0,0,384913,20354
1786476468.3547177,0,2,4.25,53,180,405,22,21680896,17394328,0,0,384913,20354
1786476468.8912797,0,2,4.20,53,180,405,19,21681196,17395796,0,0,384913,20354
1786476469.4147863,0,2,4.20,53,180,405,18,21674440,17397384,0,0,384913,20354
1786476469.935778,0,2,4.16,53,180,405,17,21678616,17402916,0,0,384913,20354
1786476470.4570036,0,2,4.16,53,180,405,17,21667584,17407824,0,0,384913,20354
1786476470.9810138,0,2,4.16,53,180,405,16,21767908,17407992,0,0,384913,20354
1786476471.504063,0,2,4.16,53,180,405,20,21744496,17409572,0,0,384913,20354
1786476472.0258732,0,2,4.18,53,180,405,20,21735248,17411740,0,0,384913,20354
1786476472.5522058,0,2,4.18,53,180,405,20,21706984,17413664,0,0,384913,20354
1786476473.0749207,0,2,4.18,53,180,405,19,21670272,17415332,0,0,384913,20354
1786476473.5979533,0,2,4.18,53,180,405,15,21684824,17416508,0,0,384913,20354
1786476474.121551,0,2,4.15,53,180,405,15,21654628,17496264,0,0,384913,20354
1786476474.644054,0,2,4.20,53,180,405,14,21661008,17509776,0,0,384913,20354
1786476475.1693022,0,2,4.20,53,180,405,12,21651356,17517088,0,0,384913,20354
1786476475.694206,0,2,4.16,53,180,405,14,21681088,17684212,0,0,384913,20354
1786476476.2192771,0,2,4.16,53,180,405,13,21702904,17688928,0,0,384913,20354
1786476476.744056,0,2,4.21,53,180,405,11,21672828,17717700,0,0,384913,20354
1786476477.2702606,0,2,4.21,53,180,405,9,21668920,17723372,0,0,384913,20354
1786476477.7991414,0,2,4.17,52,180,405,8,21688164,17732936,0,0,384913,20354
1786476478.3252084,0,2,4.17,52,180,405,8,21686644,17739820,0,0,384913,20354
1786476478.8521166,0,2,4.16,52,180,405,7,21666308,17744696,0,0,384913,20354
1786476479.376208,0,2,4.16,52,180,405,8,21670260,17783672,0,0,384913,20354
1786476479.9110794,0,2,4.16,52,180,405,9,21631632,17813820,0,0,384913,20354
1786476480.442201,0,2,4.16,52,180,405,10,21612432,17816892,0,0,384913,20354
1786476480.969253,0,2,4.14,52,180,405,17,21596148,17826592,0,0,384913,20354
1786476481.4934607,0,2,4.14,52,180,405,18,21602460,17830780,0,0,384913,20354
1786476482.018804,0,2,4.20,52,180,405,17,21615916,17833576,0,0,384913,20354
1786476482.5475695,0,2,4.20,52,180,405,20,21605964,17834480,0,0,384913,20354
1786476483.0724335,0,2,4.12,52,180,405,23,21611420,17835292,0,0,384913,20354
1786476483.5974565,0,2,4.12,52,180,405,23,21590828,17837280,0,0,384913,20354
1786476484.1214702,0,2,4.13,52,180,405,19,21573236,17840368,0,0,384913,20354
1786476484.6454377,0,2,4.17,52,180,405,23,21553660,17844636,0,0,384913,20354
1786476485.1684039,0,2,4.17,52,180,405,20,21567324,17854596,0,0,384913,20354
1786476485.6895742,0,2,4.14,52,180,405,21,21548980,17857684,0,0,384913,20354
1786476486.2114499,0,2,4.14,52,180,405,20,21552712,17859376,0,0,384913,20354
1786476486.7329605,0,2,4.19,52,180,405,21,21548740,17859672,0,0,384913,20354
1786476487.261722,0,2,4.19,52,180,405,18,21529892,17859892,0,0,384913,20354
1786476487.7855473,0,2,4.14,52,180,405,19,21491296,17868596,0,0,384913,20354
1786476488.310601,0,2,4.14,52,180,405,17,21474540,17870100,0,0,384913,20354
1786476488.832771,0,2,4.17,52,180,405,16,21507880,17874148,0,0,384913,20354
1786476489.3544965,0,2,4.17,52,180,405,17,21495728,17878132,0,0,384913,20354
1786476489.880764,0,2,4.12,52,180,405,16,21488628,17882920,0,0,384913,20354
1786476490.405531,0,2,4.12,52,180,405,15,21471684,17890160,0,0,384913,20354
1786476490.931755,0,2,4.10,52,180,405,15,21478316,17890440,0,0,384913,20354
1786476491.454877,0,2,4.10,52,180,405,16,21431884,17893596,0,0,384913,20354
1786476491.9788647,0,2,4.10,52,180,405,20,21445560,17900672,0,0,384913,20354
1786476492.5009046,0,2,4.10,52,180,405,22,21439484,17902188,0,0,384913,20354
1786476493.0238473,0,2,4.18,52,180,405,21,21430392,17902432,0,0,384913,20354
1786476493.5467315,0,2,4.18,52,180,405,18,21428928,17902604,0,0,384913,20354
1786476494.0697153,0,2,4.16,52,180,405,18,21380800,17904072,0,0,384913,20354
1786476494.5939913,0,2,4.16,52,180,405,16,21365848,17927896,0,0,384913,20354
1786476495.115992,0,2,4.12,52,180,405,16,21274156,17953168,0,0,384913,20354
1786476495.6387877,0,2,4.12,52,180,405,15,21241136,18000712,0,0,384913,20354
1786476496.1607673,0,2,4.13,52,180,405,15,21213272,18038612,0,0,384913,20354
1786476496.6830466,0,2,4.12,52,180,405,15,21142380,18070080,0,0,384913,20354
1786476497.2098746,0,2,4.12,52,180,405,14,21160976,18070432,0,0,384913,20354
1786476497.731885,0,2,4.12,52,180,405,14,21158452,18074024,0,0,384913,20354
1786476498.2569687,0,2,4.12,52,180,405,15,21136920,18075040,0,0,384913,20354
1786476498.7814286,0,2,4.11,52,180,405,14,21148284,18076268,0,0,384913,20354
1786476499.3069901,0,2,4.11,52,180,405,21,21168564,18076584,0,0,384913,20354
1786476499.836916,0,2,4.12,52,180,405,20,21158444,18081456,0,0,384913,20354
1786476500.359888,0,2,4.12,52,180,405,20,21145004,18083956,0,0,384913,20354
1786476500.88901,0,2,4.14,52,180,405,17,21116204,18084112,0,0,384913,20354
1786476501.4129589,0,2,4.14,52,180,405,15,21117184,18092424,0,0,384913,20354
1786476501.9343164,0,2,4.12,52,180,405,15,21127836,18094288,0,0,384913,20354
1786476502.458057,0,2,4.12,52,180,405,18,21223516,18095448,0,0,384913,20354
1786476502.983049,0,2,4.14,52,180,405,20,21226096,18104040,0,0,384913,20354
1786476503.5051713,0,2,4.14,52,180,405,16,21224592,18104288,0,0,384913,20354
1786476504.0270805,0,2,4.10,52,180,405,14,21205536,18140048,0,0,384913,20354
1786476504.548204,0,2,4.10,52,180,405,11,21091836,18296380,0,0,384913,20354
1786476505.0703547,0,2,4.09,52,180,405,12,21065780,18298780,0,0,384913,20354
1786476505.5961924,0,2,4.09,52,180,405,15,21039728,18300088,0,0,384913,20354
1786476506.1211653,0,2,4.08,52,180,405,17,21053444,18300556,0,0,384913,20354
1786476506.6424851,0,2,4.08,52,180,405,16,21055340,18303576,0,0,384913,20354
1786476507.1642342,0,2,4.09,52,180,405,14,21068848,18304144,0,0,384913,20354
1786476507.6862326,0,2,4.07,52,180,405,12,21031540,18315264,0,0,384913,20354
1786476508.2083673,0,2,4.07,52,180,405,12,21025028,18315728,0,0,384913,20354
1786476508.7391942,0,2,4.08,52,180,405,11,21015600,18316464,0,0,384913,20354
1786476509.2644408,0,2,4.08,52,180,405,11,21046264,18317184,0,0,384913,20354
1786476509.797073,0,2,4.14,52,180,405,11,21015520,18318316,0,0,384913,20354
1786476510.328481,0,2,4.14,52,180,405,11,21027276,18319796,0,0,384913,20354
1786476510.85442,0,2,4.18,52,180,405,11,21031556,18320192,0,0,384913,20354
1786476511.3773801,0,2,4.18,52,180,405,11,21039352,18320616,0,0,384913,20354
1786476511.9029343,0,2,4.11,52,180,405,11,21021100,18320820,0,0,384913,20354
1786476512.428508,0,2,4.11,52,180,405,14,21010924,18338592,0,0,384913,20354
1786476512.955641,0,2,4.08,52,180,405,17,21024852,18347668,0,0,384913,20354
1786476513.4816225,0,2,4.08,52,180,405,19,20989464,18362232,0,0,384913,20354
1786476514.0066981,0,2,4.11,52,180,405,25,20962576,18389764,0,0,384913,20354
1786476514.52774,0,2,4.11,52,180,405,22,20925872,18391396,0,0,384913,20354
1786476515.0524387,0,2,4.16,52,180,405,16,20870240,18418396,0,0,384913,20354
1786476515.5852702,0,2,4.16,52,180,405,11,20857712,18420816,0,0,384913,20354
1786476516.1115215,0,2,3.96,52,180,405,8,20873364,18422764,0,0,384913,20354
1786476516.6335435,0,2,3.96,52,180,405,7,20852984,18423648,0,0,384913,20354
1786476517.1586845,0,2,3.98,52,180,405,6,20854920,18423780,0,0,384913,20354
1786476517.6836233,0,2,4.02,52,180,405,5,20844364,18424016,0,0,384913,20354
1786476518.2086687,0,2,4.02,52,180,405,5,20823820,18425296,0,0,384913,20354
1786476518.7325773,0,2,4.02,52,180,405,4,20807236,18425992,0,0,384913,20354
