unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786476650.9706368,0,2,3.87,49,180,405,13,20936844,19176564,13488,0,1151,24
1786476651.5032432,0,5,3.87,49,180,405,21,20855336,19176640,271948,0,11087,365
1786476652.0353541,1,164,6.03,49,532,9001,18,20665560,19174004,470808,0,39382,409
1786476652.5551937,0,166,8.02,50,1762,9001,15,20628200,19174108,472572,0,43759,409
1786476653.076428,0,166,12.23,50,1755,9001,15,20737808,19138116,472792,0,54035,409
1786476653.595126,0,166,12.04,50,1755,9001,14,20701872,19140004,472804,0,55088,409
1786476654.1141958,0,166,12.03,50,1762,9001,15,20683812,19140076,472804,0,55613,409
1786476654.6321442,0,166,12.10,50,1762,9001,13,20685108,19141684,472804,0,56138,409
1786476655.1501663,0,166,12.12,50,1755,9001,11,20775208,19140404,472836,0,57197,409
1786476655.6691706,0,166,12.08,50,1762,9001,10,20750652,19142396,472836,0,57723,409
1786476656.1912553,0,166,12.10,50,1762,9001,8,20649364,19142592,1795668,0,78554,409
1786476656.7092323,0,166,11.94,50,1755,9001,8,20576816,19142648,3868244,0,111191,409
1786476657.2272043,0,166,11.95,50,1755,9001,7,20776816,19146952,6121112,0,146673,409
1786476657.7454698,0,166,11.91,50,1755,9001,7,20659600,19146996,8513132,0,184341,409
1786476658.263234,0,166,11.94,50,1755,9001,8,20582040,19148880,11134572,0,225624,409
1786476658.7812507,0,166,11.96,50,1755,9001,7,20550736,19148936,13862508,0,268616,409
1786476659.3003652,0,166,11.93,50,1755,9001,7,20578056,19148972,16705156,0,313370,409
1786476659.8182783,0,166,11.91,50,1755,9001,7,20759204,19147020,19061428,0,350656,409
1786476660.3422852,0,166,11.92,50,1755,9001,7,20900284,19034200,19974280,0,367436,409
1786476660.9282653,0,166,11.95,50,1755,9001,8,21088340,18760972,20257696,0,371955,409
1786476661.5218885,0,166,11.95,51,1755,9001,7,21272256,18542664,20661368,0,378873,409
1786476662.1355083,0,166,12.02,51,1755,9001,10,21351012,18427972,20754180,0,383495,409
1786476662.847421,0,166,12.06,51,1755,9001,13,21473332,18256224,20854384,0,388247,409
1786476663.5383863,0,166,12.19,51,1755,9001,10,21724228,17912160,21100628,0,392429,409
1786476664.1424024,0,166,12.01,51,1755,9001,9,21956564,17620564,21285288,63260,399812,409
1786476664.7546635,0,166,11.99,51,1755,9001,7,22230532,17247576,21474644,84544,403577,414
1786476665.3744328,8,10052,12.42,51,1777,9001,12,22528532,16765916,21540360,86456,405137,621
1786476665.935453,41,10052,13.99,51,1785,9001,11,22667292,16564848,21616944,169736,408533,853
1786476666.4904644,41,10052,15.10,52,1792,9001,13,22531124,16676316,21152056,169724,414111,1235
1786476667.0114646,46,10052,16.87,52,1785,9001,11,22477396,16753464,21115412,169700,419358,1495
1786476667.5334494,3,10686,20.03,52,1950,9001,9,22466812,16662336,17678848,168760,460024,5355
1786476668.1134987,2,10688,21.01,52,1905,9001,8,22559584,16514328,17687048,179264,466419,6158
1786476668.7176461,0,10688,19.36,52,1755,9001,8,22287276,16765364,17262892,179264,466420,6158
1786476669.2375026,5,10778,16.45,52,1800,9001,8,21997152,16812400,16625912,163868,535244,10079
1786476669.7693195,26,10778,21.51,53,1792,14001,8,21763272,16885272,16810596,163364,585971,10246
1786476670.2916625,29,10778,24.66,53,1792,14001,10,21744584,16912584,16764216,163364,610092,10302
1786476670.8204055,29,10778,22.85,53,1777,14001,9,21744804,16914884,16676380,163364,635297,10354
1786476671.342733,18,10778,22.74,53,1785,14001,16,21681024,17006880,16882988,163364,655868,10397
1786476671.8678365,19,10778,22.06,53,1777,14001,23,21508104,17100316,18088188,163364,686286,10430
1786476672.3909903,87,10780,28.40,55,1987,14001,27,21510608,17139212,18349180,163348,690604,10470
1786476672.9187021,82,10780,36.88,55,1845,14001,30,21571216,17175064,18431792,163332,692423,10484
1786476673.444752,78,10814,39.93,56,2002,9001,24,21477060,17271432,18512984,163168,705935,10539
1786476673.9716277,90,10814,37.14,56,1860,14001,16,21423400,17284744,18462416,162516,722435,10708
1786476674.503667,32,10814,44.27,59,2670,14001,10,21334264,17311588,18463504,161508,722440,10969
1786476675.0266776,40,10814,55.56,60,2077,14001,8,21112432,17320684,18617368,160512,781556,11209
1786476675.5527637,86,10814,47.35,56,1830,14001,7,21005636,17350388,18666132,160512,791192,11209
1786476676.0827222,31,10814,48.53,59,2700,14001,5,21046180,17350788,18660020,160512,791192,11209
1786476676.6127927,27,222,63.72,60,2662,14001,4,21094936,17434212,11920708,156768,791238,11359
1786476677.1337543,0,222,56.34,57,1755,14001,4,21403724,17476328,758976,115212,791612,22135
