unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786476726.445122,0,2,3.99,52,180,405,6,21416208,18169544,13352,0,1133,21
1786476726.9673705,0,164,4.41,52,180,405,5,21151736,18176044,390428,0,20394,307
1786476727.4949975,0,164,6.39,52,1837,9001,5,21085136,18174068,2322932,0,64178,308
1786476728.0133522,0,164,12.08,52,1755,9001,6,21019532,18177844,9442108,0,176798,308
1786476728.532359,0,164,12.27,52,1755,9001,11,20968664,18180868,14224600,0,251945,308
1786476729.0534241,0,164,12.31,53,1755,9001,21,21132636,18042388,17220504,0,299049,308
1786476729.6383014,0,164,12.32,53,1755,9001,17,21228752,17912224,19107724,0,329526,308
1786476730.1762161,0,164,12.29,53,1755,9001,20,21463820,17578164,19401048,0,334162,308
1786476730.772541,0,164,12.38,53,1755,9001,26,21720820,17257168,19835548,0,341018,308
1786476731.3454137,0,164,12.44,53,1755,9001,27,21862016,17071904,19956472,85904,346196,314
1786476731.9162524,0,164,12.42,53,1755,9001,20,21818328,17119772,20242240,85904,355102,314
1786476732.4452755,0,164,12.40,53,1755,9001,16,22039700,16859964,20804636,85848,364130,330
1786476733.0543125,0,164,12.39,53,1755,9001,14,22235256,16671480,21361416,120488,375475,333
1786476733.6325302,0,164,12.39,53,1755,9001,12,22404720,16443392,21586244,130424,380201,333
1786476734.2143161,1,636,13.00,54,1890,9001,12,22164644,16463248,18737380,112928,443854,6475
1786476734.7453737,1,638,13.66,54,1845,9001,12,22120116,16527048,18474480,102560,447896,10244
1786476735.2655246,48,726,14.36,54,1860,9001,11,21765536,16545016,18024764,99116,526582,11517
1786476735.7895272,58,726,20.01,55,1867,9001,11,21766472,16567808,18135116,98968,532861,11838
1786476736.3183737,52,726,26.82,55,1890,9001,12,21647000,16666600,18237176,98952,536613,12118
1786476736.8406873,53,726,28.56,55,1852,9001,11,21372248,17010260,18302024,98952,539571,12364
1786476737.3645442,43,726,28.30,55,1882,9001,12,21319420,17070880,18492800,98944,545604,12628
1786476737.8873968,36,726,27.19,55,1860,9001,12,21394648,17002164,18565252,98944,556617,12760
1786476738.4555721,8,726,23.26,55,1822,9001,10,21510696,16847956,18689820,98944,563648,12830
1786476739.0014465,12,726,20.69,55,1807,9001,11,21459556,16883060,18759660,98940,575868,13761
1786476739.5277576,1,726,19.77,55,1807,9001,11,21438252,16895368,19014420,98940,588623,17728
1786476740.0554655,1,762,16.22,55,1815,9001,11,21290396,16928068,19106704,98624,605337,20588
1786476740.582654,57,762,17.09,56,1912,9001,12,21047328,16962008,19198404,98592,608417,21875
1786476741.1205978,35,762,22.88,56,1882,9001,15,20953204,16973784,18926972,98588,610640,21985
1786476741.653821,39,762,26.31,56,1882,9001,18,21026124,16964676,18761328,98588,613648,22244
1786476742.1920266,31,762,25.80,57,1837,9001,19,21153468,16968416,18828468,98580,617530,22588
1786476742.7175708,46,764,26.39,57,1882,9001,16,21153424,16970056,18730956,98568,623766,22864
1786476743.236699,39,764,26.72,57,1867,9001,13,21187824,16973140,18997024,98536,636122,23144
1786476743.7556767,2,764,24.36,57,1942,9001,12,21160420,16961288,19252408,111304,651102,23811
1786476744.294669,2,764,21.76,57,2085,9001,11,21157368,16936608,19243732,142292,651537,23924
1786476744.8348994,1,764,20.87,57,2010,9001,23,21145468,16921312,19241056,165588,651944,23994
1786476745.3978744,2,764,18.64,57,2025,9001,20,21136852,16904300,19193560,214828,652936,24933
1786476745.9407804,2,764,16.74,57,2047,9001,20,21174920,16881920,19149688,235100,654159,31856
1786476746.4787774,2,764,16.94,57,2055,9001,15,21181544,16846872,19136628,258120,654333,31990
1786476747.019882,2,764,16.99,57,2055,9001,13,21207068,16815900,19100220,297832,654402,32074
1786476747.551944,2,764,16.93,57,2032,9001,12,21234432,16777080,19070380,337872,654607,32166
1786476748.0949163,2,764,17.01,57,2062,9001,12,21222824,16762956,19040428,379576,654823,32256
1786476748.6490192,2,764,17.00,57,2040,9001,12,21237104,16722884,19032192,393720,654987,32317
1786476749.1848328,2,764,16.99,57,2055,9001,12,21270408,16683028,19034296,393864,655055,32360
1786476749.721148,2,764,17.26,58,2062,9001,12,21291360,16634348,19043448,393724,655236,32425
1786476750.2590537,2,764,17.30,58,2062,9001,12,21334656,16582076,19051600,393692,655394,32478
1786476750.802067,2,764,17.35,58,2040,9001,13,21420276,16487420,19051848,393880,655408,32500
1786476751.3411572,2,764,17.30,58,2047,9001,20,21402140,16486084,19068100,394500,655733,32555
1786476751.8819757,2,764,17.16,59,2040,9001,16,21400796,16511724,19068448,394464,655743,32564
1786476752.4128942,2,764,17.21,59,2047,9001,14,21390172,16515600,19068956,394388,655753,32588
1786476752.9428976,2,764,17.25,59,2032,9001,13,21376052,16518220,19069112,394304,655755,32612
