unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786476794.7231395,0,2,20.92,65,1755,9001,8,22072632,17132536,14068,0,1222,24
1786476795.249294,0,5,15.86,64,1755,9001,8,22063180,17135008,272320,0,33073,544
1786476795.7690809,0,164,15.47,64,1755,9001,8,21874480,17138680,565768,0,60379,583
1786476796.2910798,0,164,14.90,64,1755,9001,7,21830808,17214836,6941300,0,161000,583
1786476796.8130255,0,164,13.93,64,1755,9001,7,21832936,17219964,13888308,0,270977,583
1786476797.3361325,0,164,13.91,64,1755,9001,7,21789632,17220208,17666200,0,332051,583
1786476797.8597202,0,164,13.94,64,1755,9001,7,21918404,17107972,18080508,0,339800,583
1786476798.3825111,0,164,13.94,64,1755,9001,7,21934528,17112892,19275424,0,360608,583
1786476798.939396,0,164,13.93,63,1755,9001,8,22060656,16976080,19892256,0,370619,583
1786476799.4944768,0,164,13.92,63,1755,9001,7,22148304,16899760,21335776,0,393295,583
1786476800.1402316,0,164,13.87,63,1755,9001,8,22335244,16545744,21617576,133468,400005,604
1786476800.7742083,0,2600,13.83,63,1755,9001,8,22475920,16326820,21794972,218880,405335,1014
1786476801.3172498,36,2600,16.16,64,1920,9001,8,22595632,16160608,20474104,222292,405803,1228
1786476801.916165,11,3240,19.17,64,2010,9001,9,22374236,16248264,16888228,204800,443145,6446
1786476802.4382758,0,3240,17.91,64,1755,9001,8,22312280,16261588,16888228,204800,443145,6446
1786476802.9604723,0,3240,16.42,63,1755,9001,8,22250308,16283736,16978136,194936,458209,9377
1786476803.4832962,1,3330,15.61,63,1837,9001,7,21896144,16295840,16906364,191268,560160,10512
1786476804.0075426,58,3330,21.02,64,1815,9001,7,21887028,16312400,16912888,191264,563257,10892
1786476804.5303278,55,3330,27.72,65,1830,9001,7,21861012,16317520,17098004,191264,569162,11357
1786476805.0514314,58,3330,31.80,65,1830,9001,8,21814028,16338004,17293044,191264,573919,11809
1786476805.5734825,54,3330,31.85,65,1822,9001,8,21865384,16355672,17426136,191252,577626,12045
1786476806.0984254,3,3366,29.48,65,1882,9001,8,21786240,16362684,17422812,191188,592107,12105
1786476806.6244712,87,3366,29.79,66,1867,9001,7,21787104,16370532,17431140,191184,592608,12131
1786476807.1495383,76,3366,34.29,67,1852,9001,8,21782056,16378980,17372276,191148,593443,12174
1786476807.6770816,70,3368,36.16,66,1860,9001,8,21674956,16412200,17388688,190436,610541,12428
1786476808.207419,17,3368,37.38,67,2362,14001,7,21598252,16461048,17318160,190320,610706,12492
1786476808.7405176,27,3368,53.73,68,2752,9001,8,21577688,16484172,17268436,190228,610745,12530
1786476809.2700763,20,3368,52.69,69,2715,14001,8,21572060,16486368,17169600,190164,610807,12551
1786476809.7975106,21,3368,51.82,68,2617,9001,8,21573032,16494100,17184452,190116,611090,12633
1786476810.3265479,25,3368,47.06,69,2722,9001,8,21550500,16501720,17184660,190064,611092,12659
1786476810.8565423,26,3368,44.81,69,2737,9001,8,21587876,16500708,17183808,190024,611100,12670
1786476811.3847742,21,3368,49.37,69,2715,14001,8,21596604,16502400,17187460,190000,611184,12687
1786476811.917703,27,3368,53.72,70,2737,9001,8,21617440,16503668,17168360,189952,611285,12721
1786476812.4457164,24,3368,52.02,70,2745,14001,7,21619896,16509400,17168916,189892,611293,12737
1786476812.9727921,21,3368,54.34,70,2715,14001,8,21612920,16509828,17170116,189880,611330,12747
1786476813.5031345,24,3368,54.16,70,2707,9001,8,21590488,16510596,17170536,189848,611335,12757
1786476814.0276332,21,3368,52.70,70,2677,14001,8,21587120,16514252,17170804,189780,611337,12777
1786476814.558657,27,3368,54.33,70,2745,9001,8,21579828,16519008,17168664,189732,611380,12801
1786476815.0828245,20,222,51.84,70,2685,14001,8,21599172,16536492,14999796,185012,611484,13222
1786476815.603684,0,222,46.28,68,1942,9001,8,21724520,16592628,691020,148696,611521,22279
