unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786476913.6146066,0,2,14.58,66,1755,9001,8,22139276,16729160,13228,0,1127,23
1786476914.1317334,0,56,14.63,66,1755,9001,7,22248988,16686816,371984,0,31704,298
1786476914.656813,3,164,15.10,66,1830,9001,7,22136780,16697972,2630436,0,90270,299
1786476915.1786268,0,164,14.99,66,1755,9001,8,22095536,16708128,10812396,0,218638,299
1786476915.699917,0,164,14.28,66,1755,9001,8,22080012,16704844,13950396,0,268119,299
1786476916.2220259,0,164,14.23,66,1755,9001,8,22008544,16762208,19152764,0,350092,299
1786476916.7436845,0,164,14.28,65,1755,9001,8,22051228,16834596,20776316,0,375671,299
1786476917.3336854,0,164,14.27,65,1755,9001,8,22259592,16511604,20947244,142612,380773,299
1786476917.932869,0,164,14.19,65,1755,9001,8,22221428,16539024,20950248,142596,386244,303
1786476918.5408435,0,9668,14.18,65,1755,9001,7,22303912,16461016,21690180,141808,401429,515
1786476919.120881,55,9668,14.85,65,1777,9001,7,22416196,16301424,21752616,149248,404004,1021
1786476919.6537757,28,9668,23.42,66,1792,9001,8,22528048,16158868,21763392,195536,406055,1449
1786476920.272887,3,9720,23.57,66,1770,9001,8,22638624,15927496,18040156,194840,407118,5302
1786476920.8008056,8,10236,22.41,66,1987,9001,8,22225964,16059704,18380816,191924,475363,7459
1786476921.322846,0,10236,21.60,66,1755,9001,8,22159604,16094420,18380816,191924,475363,7459
1786476921.8438845,0,10236,19.28,65,1755,9001,9,22133836,16129108,18527316,182060,494067,10422
1786476922.367892,60,10306,19.19,66,1867,9001,8,21873296,16149216,18890372,178644,564229,11504
1786476922.8919504,58,10306,24.49,66,1890,9001,8,21875128,16161092,18930100,178628,566515,11747
1786476923.413876,59,10326,30.43,66,1897,9001,8,21738440,16171144,19112636,178324,594161,12039
1786476923.9399107,2,10364,34.62,67,1800,14001,8,21705640,16176944,19181236,177896,607424,12156
1786476924.4649153,83,10364,40.27,67,1905,14001,8,21668176,16191304,19052532,177892,607462,12162
1786476924.98895,41,10364,47.13,68,1965,14001,8,21600404,16193964,18798952,177576,622152,12254
1786476925.5270562,7,10364,45.14,68,2062,14001,8,21591912,16196904,18800144,177508,622260,12290
1786476926.0622954,10,10364,41.43,68,2100,9001,9,21574984,16208904,18801128,177444,622320,12310
1786476926.590009,10,10364,39.39,68,2122,9001,8,21557560,16217332,18793744,177388,622322,12326
1786476927.1223845,12,10364,37.26,68,2295,9001,9,21544832,16223288,18793324,177344,622326,12339
1786476927.6543944,12,10364,33.91,68,2272,9001,9,21524964,16289376,18793988,177312,622354,12354
1786476928.1844146,12,10364,32.39,68,2152,9001,8,21562392,16303304,18794016,177284,622354,12361
1786476928.7121441,12,10364,31.13,68,2182,9001,8,21579400,16306864,18794388,177268,622375,12367
1786476929.2509832,12,10364,30.25,67,2190,9001,8,21554384,16319420,18794692,177220,622378,12380
1786476929.7793307,12,10364,30.67,67,2160,9001,8,21515640,16330308,18794952,177200,622380,12387
1786476930.3214123,11,10364,30.70,67,2160,9001,9,21523768,16333000,18794708,177168,622383,12396
1786476930.851263,12,10364,30.18,68,2160,9001,9,21481528,16341056,18793848,177152,622385,12400
1786476931.384342,12,10364,30.07,67,2160,9001,8,21480356,16352648,18782780,177100,622387,12415
1786476931.9202557,12,10364,29.81,68,2175,9001,8,21504748,16354404,18768972,177088,622389,12418
1786476932.4583728,12,10364,30.36,68,2212,9001,8,21482304,16362784,18755172,177060,622389,12426
1786476932.9911957,12,10364,30.84,68,2175,9001,8,21474068,16370636,18755380,177052,622390,12431
1786476933.5214403,12,10364,30.64,68,2167,9001,7,21481576,16372656,18720088,177048,622390,12432
1786476934.0505376,12,10364,30.45,69,2152,9001,8,21485792,16374676,18697128,177028,622392,12438
1786476934.586518,12,10364,30.71,67,2167,9001,7,21455148,16400428,18695768,177012,622395,12444
1786476935.1203253,12,10364,31.01,67,2167,9001,8,21440348,16414252,18682280,176980,622397,12452
1786476935.6524448,11,10364,30.06,67,2152,9001,9,21441372,16419016,18582924,176960,622399,12459
1786476936.1924186,12,10364,30.19,68,2152,9001,9,21436580,16435460,18571468,176952,622409,12474
1786476936.7254138,7,10364,30.29,67,2145,9001,9,21429512,16446068,18572244,176912,622425,12500
1786476937.2593586,12,10364,29.89,67,2152,9001,8,21441620,16444768,18487960,176888,622426,12507
1786476937.7876332,7,224,29.89,67,2115,9001,8,21624404,16453316,15721528,172184,622509,12915
1786476938.3095105,0,224,22.53,66,1755,9001,7,21752500,16496480,695628,136120,622529,21871
