unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477014.7807393,0,2,16.65,66,1755,9001,22,22211184,16887168,13580,0,1165,23
1786477015.2987654,0,5,15.18,66,1755,9001,18,22280248,16746684,269948,0,26446,237
1786477015.820793,1,190,15.42,66,1867,9001,23,22182148,16676864,471772,0,50679,293
1786477016.3439445,0,190,15.24,66,1755,9001,23,22193140,16621252,2312960,0,86383,293
1786477016.8669622,0,190,14.36,66,1755,9001,28,22172324,16606452,10463904,0,214039,293
1786477017.387861,0,190,14.24,65,1755,9001,28,22077128,16693592,18364192,0,337843,293
1786477017.9109669,0,190,14.24,65,1755,9001,32,21926808,16825256,20310324,0,368456,293
1786477018.4958766,0,190,14.26,65,1755,9001,23,22221432,16448188,20605168,71048,374307,326
1786477019.0639083,0,190,14.22,65,1755,9001,18,22193652,16446624,21146964,71388,383628,351
1786477019.6648815,0,190,14.15,65,1755,9001,12,22219192,16426304,21643624,71380,394918,353
1786477020.3121603,0,190,14.11,65,1755,9001,8,22191752,16415632,21549340,71380,401536,353
1786477020.856217,32,6736,14.95,65,1777,9001,6,22385824,16134616,21438920,199772,402844,720
1786477021.4050283,3,6736,16.06,65,1777,9001,4,22348480,16134992,21442800,199708,403030,807
1786477021.961167,44,6736,16.68,65,1785,9001,4,22239700,16239764,21201448,199692,405190,1176
1786477022.485985,0,7358,17.34,65,1860,9001,6,22130400,16268976,12020584,183220,440415,6005
1786477023.0133052,0,7360,19.46,66,1957,9001,8,22030724,16307928,12098592,172684,449162,9220
1786477023.5433507,5,7450,18.74,66,1912,9001,10,21604708,16326604,11954348,169040,562208,10903
1786477024.06705,57,7450,24.04,66,1822,14001,9,21588776,16344980,11800072,169032,565895,11193
1786477024.593034,38,7450,31.13,67,1800,14001,8,21556792,16351272,12251192,169032,578250,11554
1786477025.116135,39,7450,35.33,67,1807,14001,9,21511032,16428656,12425408,169032,590312,11906
1786477025.639351,42,7450,36.06,67,1800,14001,10,21498780,16459856,12827700,169000,600202,12087
1786477026.1671844,2,7450,35.15,67,1860,14001,11,21416608,16473216,12891720,168996,612702,12132
1786477026.6943963,95,7482,38.97,68,1852,14001,11,21388988,16524684,12961812,168912,617537,12180
1786477027.2252388,88,7486,44.12,68,1845,14001,9,21302932,16538772,13033416,168236,634150,12354
1786477027.7551723,23,7486,48.86,70,2580,14001,6,21304816,16560764,13036372,168116,634253,12397
1786477028.2844877,26,7486,63.57,72,2700,14001,7,21315328,16567108,13035132,168016,634344,12426
1786477028.8104205,23,7486,64.89,72,2655,9001,7,21298916,16584592,13046600,167972,634535,12471
1786477029.342243,35,7486,59.76,72,2707,9001,6,21295144,16594488,13047216,167900,634540,12495
1786477029.8675263,28,7486,59.20,72,2707,14001,5,21331020,16605972,13047728,167812,634559,12518
1786477030.3964677,27,7486,60.40,72,2625,9001,4,21329888,16609580,13045216,167732,634595,12548
1786477030.9222796,25,7486,60.25,73,2707,14001,4,21327272,16613784,13030232,167680,634673,12578
1786477031.446442,26,7486,62.85,73,2692,14001,5,21328816,16618692,13034824,167628,634754,12605
1786477031.9705472,28,7486,66.34,73,2700,14001,6,21308680,16619892,13034828,167596,634757,12613
1786477032.4972928,26,7486,66.64,73,2677,14001,6,21326120,16624460,13035140,167528,634761,12630
1786477033.021325,27,248,66.84,74,2692,14001,8,21379596,16633600,10596792,162892,634798,13017
1786477033.5403023,0,248,52.87,70,1755,14001,12,21481064,16684492,769896,121228,634982,23678
1786477034.0585904,0,2,17.50,68,1755,9001,20,21981952,16866340,0,0,635225,24950
