unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477094.199404,0,2,20.07,70,1762,9001,5,22077828,17013240,14484,0,1267,22
1786477094.7172976,0,23,16.51,70,1755,9001,5,21880864,17029980,304644,0,32858,322
1786477095.2503002,0,190,15.93,70,1755,9001,5,21710760,17032616,464256,0,49276,338
1786477095.7780304,0,190,16.61,69,1822,9001,6,21675052,17034996,3676668,0,106825,338
1786477096.295316,0,190,14.87,69,1755,9001,6,21563684,17223180,13200308,0,256477,338
1786477096.8135095,0,190,14.89,69,1755,9001,7,21406632,17354736,18661232,0,342470,338
1786477097.3323615,0,190,14.99,69,1755,9001,7,21723040,17189052,19829668,0,360882,338
1786477097.918469,0,190,14.96,68,1755,9001,5,22022216,16781288,20185484,54748,367380,344
1786477098.5102406,0,190,14.84,68,1755,9001,5,22237904,16449060,20673648,122560,376319,368
1786477099.0803883,0,190,14.73,68,1755,9001,6,22406544,16188376,20865876,213176,381269,376
1786477099.6344213,0,190,14.72,68,1755,9001,4,22407556,16199872,21537628,213172,394067,377
1786477100.1845047,0,190,14.63,68,1755,9001,5,22550656,15931128,21672092,221228,398149,379
1786477100.8564703,0,8106,14.65,68,1755,9001,3,22364784,16118184,21485860,219676,402069,804
1786477101.3987935,19,8106,16.45,68,1830,9001,13,22035724,16371224,20464440,219632,405049,959
1786477101.9398558,19,8106,17.15,68,1762,9001,21,22016156,16391012,19915576,219632,410391,1137
1786477102.4715388,26,8106,17.03,68,1785,9001,15,21988216,16424256,19131144,219604,416392,1484
1786477102.996843,44,8106,17.80,68,1800,9001,11,22053368,16438920,18443500,219596,421981,1794
1786477103.5237267,1,8746,17.92,68,1822,9001,9,21951148,16484268,14239232,203140,460652,7337
1786477104.0671678,6,8748,18.93,68,1882,9001,18,21820284,16545988,14066024,202376,467797,8526
1786477104.588887,0,8748,17.83,68,1755,9001,24,21795920,16579012,14144216,192456,478710,12220
1786477105.1226063,5,8838,17.28,68,1867,9001,26,21292572,16640636,13593308,188800,591246,13718
1786477105.6457584,50,8838,18.03,68,1822,9001,20,21244748,16647208,14182564,188784,608398,14035
1786477106.1676946,39,8838,21.31,68,1822,9001,15,21249216,16694120,15183012,188784,630221,14261
1786477106.689908,39,8838,30.77,69,1800,14001,11,21298700,16673584,15958280,196624,646775,14470
1786477107.2117918,32,8838,32.60,69,1800,14001,9,21321636,16685948,16749888,196608,660854,14748
1786477107.7427185,11,8870,30.67,69,1867,14001,9,21232200,16713308,16766764,196516,677178,14853
1786477108.270059,89,8872,31.01,69,1867,9001,8,21236412,16719660,16775028,196376,679240,14918
1786477108.7910473,29,8874,52.13,73,2662,14001,8,21188020,16727104,16828440,195760,693404,15236
1786477109.3214436,29,8874,65.37,73,2670,14001,8,21192612,16732496,16833388,195640,693836,15378
1786477109.8491607,27,8874,70.05,73,2677,14001,13,21177932,16742140,16831516,195536,694085,15460
1786477110.3828056,26,8874,67.29,74,2587,14001,21,21165380,16752976,16833052,195476,694231,15529
1786477110.90694,29,8874,65.89,74,2662,14001,18,21166452,16757032,16819180,195404,694343,15583
1786477111.4390504,28,8874,67.53,75,2625,14001,19,21161376,16759420,16815948,195324,694496,15652
1786477111.9690049,26,8874,66.81,74,2640,14001,19,21103704,16767460,16784504,195268,694874,15724
1786477112.4978664,27,8874,66.94,75,2640,14001,20,21133748,16787080,16795856,195220,695131,15793
1786477113.0209677,26,8874,67.57,75,2640,14001,20,21139024,16790056,16799044,195156,695211,15833
1786477113.5428681,28,8874,68.33,75,2632,14001,17,21127716,16792596,16799892,195100,695269,15870
1786477114.0660655,29,248,69.24,75,2640,14001,18,21161736,16804272,10886092,190424,695401,16271
1786477114.5849488,0,248,54.10,71,1755,14001,17,21272988,16848104,728272,149368,695770,26622
1786477115.1039696,0,2,18.17,70,1755,9001,18,21947272,17005484,0,0,696077,28728
