unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477116.021294,0,2,16.43,69,1755,9001,18,22039072,17028968,14360,0,1248,20
1786477116.5406542,0,60,15.88,69,1755,9001,17,21820848,17034568,392700,0,25695,272
1786477117.0611627,0,190,16.29,69,1860,9001,16,21707180,17037476,1188568,0,60603,280
1786477117.5831032,0,190,15.98,69,1755,9001,17,21698456,17048832,9123160,0,186042,280
1786477118.1048164,0,190,14.91,68,1755,9001,19,21704620,17054516,16524352,0,302954,280
1786477118.6252363,0,190,14.87,68,1755,9001,24,21793692,17025308,19584444,0,351163,280
1786477119.197443,0,190,14.84,68,1755,9001,22,22090820,16645316,19946656,69160,358079,284
1786477119.8004265,0,190,14.80,68,1755,9001,21,22277240,16361820,20355112,114612,365581,287
1786477120.3701322,0,190,14.74,68,1755,9001,18,22494088,16039016,20601576,170636,370414,307
1786477120.9461386,0,190,14.77,68,1755,9001,13,22508012,16030604,20995848,172772,379428,313
1786477121.525193,0,190,14.88,68,1755,9001,11,22545720,15982968,21744352,172784,393216,313
1786477122.162216,0,8106,14.82,68,1755,9001,9,22657980,15818740,21912460,187864,396601,882
1786477122.6861951,56,8106,15.94,68,1807,9001,9,22726376,15727380,21929892,207376,398001,1212
1786477123.2064102,50,8106,18.67,68,1792,9001,10,22717356,15751412,19380548,207364,399438,1568
1786477123.7301884,20,8748,22.45,68,1927,9001,9,22621744,15736092,16153648,190156,432679,6618
1786477124.271241,1,8814,24.81,68,2010,9001,8,22511148,15762780,16088360,180160,449086,9719
1786477124.7932599,62,8838,25.41,70,1875,14001,8,22064652,15809320,15947112,176504,546795,10857
1786477125.3144732,46,8838,34.88,70,1800,14001,10,22045196,15818172,15936968,176504,558224,11183
1786477125.837588,35,8838,39.17,70,1785,14001,12,21954680,15926256,15787636,176504,567923,11496
1786477126.362453,29,8838,36.04,69,1792,14001,13,21811416,16103820,16132936,176504,581775,11753
1786477126.885529,5,8838,35.17,69,1860,14001,11,21486180,16425572,16116476,176460,598227,15371
1786477127.4135127,84,8838,38.04,73,1860,14001,9,21438720,16440264,16167692,176460,599207,15768
1786477127.9382596,90,8874,43.15,70,1837,14001,8,21373476,16445876,16306180,176064,620009,15966
1786477128.4685097,30,8874,51.72,73,2632,14001,8,21366700,16452344,16293248,175640,620212,16101
1786477128.996451,31,8874,64.57,74,2662,14001,9,21346256,16461644,16288984,175508,620243,16154
1786477129.525493,30,8874,69.75,74,2662,14001,8,21353192,16476388,16283888,175452,620555,16239
1786477130.0544317,28,8874,69.65,74,2685,14001,8,21300268,16506068,16288920,175372,620664,16276
1786477130.5832613,29,8874,69.04,74,2677,14001,13,21259440,16535388,16287280,175300,620678,16298
1786477131.1114402,27,8874,67.01,74,2602,14001,12,21260144,16546080,16285204,175268,620680,16308
1786477131.6416228,30,8874,67.53,75,2647,14001,10,21257812,16572732,16278828,175176,620680,16333
1786477132.1778374,30,8874,69.33,75,2685,14001,8,21249260,16574264,16275148,175112,620691,16351
1786477132.7098558,27,8874,69.94,75,2647,14001,8,21249624,16574920,16278520,175064,620756,16378
1786477133.2381806,22,8874,66.61,74,2580,14001,8,21218452,16577888,16279036,175008,620764,16394
1786477133.7625473,30,248,65.55,75,2655,14001,8,21436620,16588084,1080432,170372,620812,16787
1786477134.2826834,0,2,26.37,70,1770,9001,7,22164712,16762872,0,0,621477,29281
