unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477166.1547024,0,2,4.88,61,180,405,12,21529420,17662408,13732,0,1183,22
1786477166.6786551,0,5,4.87,61,180,405,10,21293548,17712284,292308,0,27175,733
1786477167.2067125,1,166,6.10,62,180,9001,10,21139360,17714668,462988,0,52633,746
1786477167.7276497,0,166,9.85,62,1755,9001,12,21094344,17719536,470240,0,54977,746
1786477168.2467978,0,166,13.93,62,1762,9001,17,21024368,17720084,470460,0,63744,746
1786477168.7656589,0,166,13.67,62,1755,9001,17,21152708,17723488,470472,0,64282,746
1786477169.2837148,0,166,13.68,62,1762,9001,23,21110548,17724660,470472,0,65324,746
1786477169.8018465,0,166,13.76,62,1755,9001,28,21047512,17728580,470472,0,65849,746
1786477170.320936,0,166,13.73,62,1762,9001,21,21060652,17737496,470508,0,66383,746
1786477170.8399625,0,166,13.78,62,1762,9001,22,21023528,17763728,470508,0,66909,746
1786477171.3608463,0,166,13.83,62,1762,9001,24,21061740,17772496,482620,0,67626,746
1786477171.8800578,0,166,13.83,62,1755,9001,26,21024124,17775244,6802956,0,167112,746
1786477172.3987694,0,166,13.85,62,1755,9001,21,21004104,17779860,16454148,0,319140,746
1786477172.91582,0,166,13.86,62,1755,9001,20,21134952,17832100,18954048,0,358500,746
1786477173.5188367,0,166,13.79,62,1755,9001,19,21297216,17600564,19447360,0,366332,746
1786477174.0500934,0,166,13.79,62,1755,9001,21,21522716,17280232,19858752,0,372832,746
1786477174.6068897,0,166,13.84,63,1755,9001,18,21840740,16830632,19907964,179580,376588,746
1786477175.2168944,0,166,13.85,63,1755,9001,18,21862016,16691120,20161608,188004,381351,746
1786477175.7541816,0,166,13.91,63,1755,9001,22,21918396,16577552,20532760,188004,387332,746
1786477176.3270671,0,166,13.89,63,1755,9001,21,22086776,16346440,21024380,201484,396753,752
1786477176.9770696,0,166,13.97,63,1755,9001,25,22379092,15954368,21236680,212808,400304,752
1786477177.9432771,0,166,13.91,63,1755,9001,27,22364212,15978000,21369368,212808,402476,752
1786477178.6769829,0,166,13.80,63,1755,9001,26,22393476,15955816,21496332,212784,404504,758
1786477180.2853546,0,166,13.79,63,1755,9001,11,22610732,15683808,21610348,218900,406440,758
1786477181.7574074,0,10052,13.96,63,1755,9001,23,22030572,16175096,20203424,223948,413095,1137
1786477182.2861452,35,10052,14.94,64,1777,9001,28,21986616,16273920,19811396,223948,413096,1138
1786477182.813153,56,10052,19.25,64,1792,9001,26,21968540,16316588,19520340,223924,413107,1149
1786477183.3372562,3,10666,21.77,64,1920,9001,18,21781152,16420380,18088380,208884,443975,5015
1786477183.8621593,9,10686,24.03,65,1890,9001,12,21650100,16519756,17990308,206804,467392,87521
1786477184.3861713,0,10688,22.30,64,1755,9001,8,21608120,16547636,17794304,194104,468533,102323
1786477184.9074702,8,10756,22.30,64,1882,9001,6,21377568,16572096,17757516,182148,517205,179817
1786477185.429197,4,10778,26.31,65,1942,14001,5,21107160,16592484,17456968,181736,582266,200295
1786477185.9502156,3,10778,25.17,64,1755,14001,3,21111668,16605824,17329484,181728,582268,233942
1786477186.4722838,3,10778,19.47,64,1762,9001,6,21116696,16630416,17214404,181728,582315,265702
1786477186.9945188,4,10778,17.87,64,1762,9001,10,21000016,16816268,17104604,181724,582607,298970
1786477187.5163693,4,10778,16.97,64,1770,9001,10,20987788,16826396,16978668,181724,582607,333010
1786477188.0382721,7,10778,15.93,64,1755,9001,8,20998624,16838444,16844976,181724,582631,364838
1786477188.5602946,3,10778,14.98,64,1755,9001,5,20995548,16848200,16723680,181724,582633,399806
1786477189.0815163,2,10778,15.05,64,1755,9001,3,21040140,16854296,16650432,181724,582633,431342
1786477189.601056,5,10778,15.22,64,1777,9001,2,21036808,16860268,16778176,181724,582666,465011
1786477190.1226041,3,10778,15.34,63,1770,9001,2,20967588,16880888,16754152,181724,582667,496029
1786477190.6433914,5,10778,15.20,63,1755,9001,1,20991708,16885648,16699780,181720,582691,529667
1786477191.163695,5,10778,15.20,63,1755,9001,1,21019696,16889564,16704212,181720,582693,563859
1786477191.6842093,6,10778,15.07,64,1755,9001,1,21014132,16892808,16722224,181720,582717,599181
1786477192.2051246,4,10778,14.77,63,1755,9001,1,20975808,16894760,16864504,181720,582718,634749
1786477192.7261066,4,10778,14.93,63,1770,9001,1,20983632,16900416,17008324,181720,582742,670681
1786477193.2435331,4,10778,15.11,63,1777,9001,8,20747628,16947172,16863600,181720,582742,701382
1786477193.7665627,7,10778,15.13,63,1755,9001,16,20785140,16949380,17297968,181720,599156,704895
1786477194.299484,15,10778,19.16,63,1785,9001,13,20799884,16954172,17818792,181720,617155,704952
1786477194.9217625,6,10778,17.39,63,1770,9001,10,21061132,16611808,18136724,182296,622206,705091
1786477195.533575,0,10812,14.78,63,1755,9001,20,21295568,16269740,18129948,204952,625930,705223
1786477196.0785916,58,10812,25.33,65,1830,14001,26,21416124,16221100,18134900,235192,626669,705285
1786477196.600567,80,10812,36.48,66,1822,14001,25,21398084,16228596,18200552,233264,628962,705784
1786477197.1227508,85,10812,44.22,66,1920,14001,25,21424772,16145672,18139928,310188,629230,705825
1786477197.651737,81,10812,52.38,69,1845,14001,25,21469156,16111296,18099000,360384,629401,706040
1786477198.1766176,98,10812,48.62,67,1852,14001,20,21498236,16062940,18048720,418708,629705,706431
1786477198.705939,95,10812,48.89,67,1927,14001,17,21561732,15985256,17962308,500832,629793,707934
1786477199.228665,80,10812,53.24,70,1852,14001,19,21589080,15973724,17977228,502748,630933,708001
1786477199.7537537,97,10812,48.35,67,1845,14001,19,21648216,15888704,17977544,505356,631009,708006
1786477200.2827256,94,10812,52.43,68,1905,14001,22,21668756,15911568,17977976,507548,631056,708014
1786477200.8037388,97,10812,49.53,68,1860,14001,18,21640244,15925428,17983448,507548,631143,708016
1786477201.3297448,96,10812,53.42,68,1920,14001,15,21624292,15935892,17988284,507432,631261,708047
