unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477319.236228,0,2,18.34,70,1755,9001,4,21012044,17626308,17268,0,1532,20
1786477319.7538054,0,190,16.78,70,1755,9001,4,20720972,17629640,435588,0,22757,279
1786477320.2726543,2,190,16.62,70,1792,9001,4,20764428,17630944,1271080,0,48578,279
1786477320.7908905,0,190,16.28,70,1755,9001,4,20620440,17631316,3800492,0,88154,279
1786477321.3087327,0,190,15.46,69,1755,9001,5,20544672,17634824,8458912,0,161048,279
1786477321.8279052,0,190,15.11,69,1755,9001,7,20669876,17635828,16141640,0,290839,279
1786477322.3447204,0,190,15.10,69,1755,9001,7,20760944,17631420,18837208,0,334569,279
1786477322.8689067,0,190,14.99,69,1755,9001,6,20794096,17617992,19664712,0,348676,279
1786477323.4207647,0,190,14.96,69,1755,9001,5,20814940,17576288,20044948,0,356781,279
1786477323.9899473,0,190,14.98,69,1755,9001,5,20773404,17577784,19866004,0,384846,279
1786477324.5117977,41,8106,15.67,69,1762,9001,4,20703792,17577664,19624132,0,394898,449
1786477325.035788,38,8106,18.98,69,1837,9001,4,20773148,17493096,19748916,0,397512,741
1786477325.6334338,16,8106,22.97,69,1770,9001,4,20978968,17181308,19927364,0,400802,921
1786477326.2218628,50,8744,23.82,69,1777,9001,3,21135132,16923224,14960812,0,419172,1087
1786477326.7842057,1,8746,21.74,69,1800,9001,2,21649948,16213340,15065144,84664,437165,1710
1786477327.4501548,2,8748,22.36,69,1867,9001,2,22053328,15663052,15206668,145772,443632,3585
1786477327.9869552,0,8748,22.12,69,1755,9001,2,22078960,15575900,15206692,145748,443632,3591
1786477328.5130827,0,8748,18.31,69,1755,9001,4,22175372,15408104,15114160,193488,443632,3591
1786477329.0542958,0,8748,14.98,68,1755,9001,5,22142396,15384512,15071188,230420,443632,3591
1786477329.5749648,0,8748,14.93,68,1755,9001,4,21961560,15609600,15063712,206232,453663,10194
1786477330.1139855,1,8838,16.67,69,1882,9001,4,21136120,16003120,14587848,200856,572987,11934
1786477330.6373603,38,8838,19.72,69,1807,9001,3,21050548,16164980,15396800,200852,597005,12048
