unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477581.4055665,0,2,5.13,62,180,405,7,20416208,18356792,202684,0,5907,0
1786477581.9461422,1,62,7.12,63,180,9001,6,20370912,18362360,401328,0,17774,15
1786477582.4647007,0,190,9.65,63,1830,9001,6,20260556,18363484,1195100,0,48406,16
1786477582.9828436,0,190,14.66,63,1755,9001,6,20251804,18363676,8289548,0,159343,16
1786477583.5006044,0,190,13.82,63,1755,9001,5,20281624,18363760,16344872,0,285330,16
1786477584.0207038,0,190,13.82,63,1755,9001,4,20484372,18226780,18204452,0,314494,16
1786477584.6396391,0,190,13.79,63,1755,9001,4,20666172,17985452,18481508,0,318903,16
1786477585.1966648,0,190,13.84,63,1755,9001,4,20851484,17732540,19009892,0,327225,16
1786477585.806705,0,190,13.82,63,1755,9001,3,21079452,17377320,19266108,0,331284,16
1786477586.3747895,0,190,13.89,63,1755,9001,2,21355780,17031172,19587068,0,336381,16
1786477586.957698,0,190,13.87,63,1755,9001,1,21548332,16792888,19873760,131928,343184,16
1786477587.608742,0,190,13.86,63,1755,9001,1,21711044,16586948,20639744,131908,355260,21
1786477588.2907734,0,190,13.85,63,1755,9001,1,22003044,16174684,20890184,157084,359624,21
1786477588.815767,0,190,13.81,63,1755,9001,1,22184104,15953688,21566712,162084,370914,21
1786477589.3678074,0,10654,13.82,63,1755,9001,0,22138404,15933028,21447720,167612,381672,468
1786477589.8909624,26,10654,16.04,63,1755,9001,4,22036276,15990344,21123220,167584,381972,14371
1786477590.4148903,11,10654,16.47,63,1777,9001,14,21680632,16221892,20305992,167584,381972,27759
1786477590.9390106,9,10654,15.89,63,1762,9001,19,21649072,16256772,20033504,167580,382005,48795
1786477591.4619105,11,10654,15.53,63,1755,9001,15,21594996,16285568,19888080,167560,382039,72279
1786477591.9831972,12,10654,15.22,63,1755,9001,15,21641360,16289396,19856960,167560,382039,99861
1786477592.5040383,36,10654,16.17,64,1882,9001,16,21594292,16339236,19618624,167552,382257,104494
1786477593.0299122,0,11276,18.70,64,1777,9001,13,21461856,16363028,8568012,151156,415267,110130
1786477593.5540252,1,11372,21.09,64,1935,9001,10,21356888,16390500,8866720,150184,454502,138569
1786477594.0760212,0,11372,21.89,64,1822,9001,11,21217460,16550824,8608172,150184,454502,138569
1786477594.5983129,0,11372,20.87,64,1755,9001,12,21215096,16563964,8605224,150184,454502,138569
1786477595.1199908,0,11372,16.65,64,1755,9001,11,21150336,16603808,8505320,150184,454502,138569
1786477595.6411517,0,11372,13.99,64,1755,9001,8,21098420,16625648,8493436,140272,467842,147429
1786477596.163073,4,11464,15.57,64,1860,9001,5,20706292,16648444,8331884,136988,579019,149078
1786477596.6892438,50,11464,21.24,65,1590,14001,7,20691368,16651848,9134396,136984,595361,149361
1786477597.2150893,38,11464,26.98,65,1807,14001,18,20767216,16666956,10170196,136984,614102,149562
1786477597.7406776,35,11464,28.67,65,1800,14001,24,20785444,16681668,11087640,136984,633698,149748
1786477598.2653537,34,11464,27.83,65,1800,14001,21,20770028,16684676,11842828,136952,651235,149981
1786477598.795234,2,11532,28.40,65,1830,14001,20,20710304,16691240,11892200,136940,667607,150227
1786477599.3181849,83,11566,32.67,66,1380,14001,18,20706408,16706356,11854208,136856,669532,150295
1786477599.8452692,76,11566,37.75,66,1830,14001,17,20577120,16709468,11993684,136152,702578,150501
1786477600.3743088,28,11566,40.76,67,2070,9001,16,20561884,16711240,12009872,136020,704390,150545
1786477600.90421,26,11566,41.76,67,2077,14001,16,20562708,16714788,11995112,135900,704397,150578
1786477601.4333575,32,11566,41.23,68,2070,9001,16,20557680,16721588,11916620,135828,704486,150604
1786477601.95951,25,11566,38.85,68,2152,14001,25,20560848,16731668,11853300,135792,704489,150624
1786477602.4885893,23,11566,37.87,68,2040,14001,29,20554716,16737452,11835792,135712,704492,150648
1786477603.020342,24,11566,38.19,68,2107,9001,26,20554656,16739792,11788872,135640,704500,150668
1786477603.5474398,29,11566,36.61,68,2115,9001,22,20560868,16749136,11779716,135604,704594,150689
1786477604.0694737,17,11566,37.20,68,2085,14001,19,20573512,16751360,11779556,135508,704877,150734
1786477604.59555,23,11566,38.98,68,2025,9001,18,20547016,16762916,11784900,135460,704981,150757
1786477605.1316395,31,11566,38.58,68,2115,9001,17,20575624,16766924,11783180,135368,704983,150780
1786477605.654567,21,11566,38.42,68,2070,14001,21,20562404,16834236,11777740,135328,704985,150791
1786477606.187923,32,11566,39.70,69,2055,9001,24,20581076,16837312,11765292,135284,704990,150802
1786477606.7290301,28,11566,38.51,70,2130,14001,22,20557276,16841288,11760588,135216,705076,150830
1786477607.26179,26,11566,38.28,69,2002,14001,19,20574616,16843044,11751392,135180,705085,150841
1786477607.7955587,25,248,39.04,69,2062,9001,20,20729784,16852948,8431900,130520,705188,151247
1786477608.3140392,19,248,35.82,68,2145,14001,26,20908224,16899664,902184,86992,705381,162630
