unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477625.1290534,0,2,5.11,64,180,405,16,21338100,17257108,14296,0,1242,23
1786477625.6530814,0,5,5.18,64,180,405,15,21360792,17268600,273000,0,12558,557
1786477626.1801898,1,190,7.46,64,180,9001,17,21185960,17270488,491528,0,40097,605
1786477626.701326,0,190,8.91,64,1800,9001,16,21145216,17270712,2753320,0,76326,605
1786477627.2234292,0,190,14.88,64,1755,9001,16,21157764,17272864,5830144,0,124767,605
1786477627.7441237,0,190,14.13,64,1755,9001,15,21178440,17268396,14025284,0,253490,605
1786477628.2651904,0,190,14.11,64,1755,9001,18,21237884,17237820,18015276,0,316699,605
1786477628.8201854,0,190,14.11,64,1755,9001,22,21212224,17237504,19869176,0,346825,605
1786477629.347382,0,190,14.15,64,1755,9001,26,21328960,17044432,20463164,0,357640,605
1786477629.8995168,0,190,14.17,65,1755,9001,29,21427120,16870656,20437800,0,364913,605
1786477630.4502892,0,190,14.21,65,1755,9001,29,21313236,16925520,20338508,0,384203,605
1786477631.0343676,29,7914,15.02,65,1785,9001,31,21255548,16934272,20164836,0,398284,719
1786477631.5606232,26,7914,16.15,65,1777,9001,33,21140820,16994364,20007020,0,412323,884
1786477632.0912962,30,7914,17.71,65,1852,9001,35,21142408,17026268,19642968,0,414568,1068
1786477632.62037,0,8536,19.63,65,1800,9001,29,21020656,17037372,11460472,0,447940,1211
1786477633.1465392,1,8536,21.11,66,1875,9001,21,21278524,16681188,11517316,104484,452222,2125
1786477633.8283503,2,8634,21.33,66,1762,9001,16,21169008,16581716,11766312,121376,487970,3779
1786477634.3493602,0,8634,21.65,66,1897,9001,12,21112620,16613228,11766312,121376,487970,3779
1786477634.877695,0,8634,18.99,66,1755,9001,14,21147136,16657460,11761620,121376,487970,3779
1786477635.399436,5,8634,14.94,66,1755,9001,10,21077996,16673012,12079940,111072,502835,7104
1786477635.9264512,21,8726,18.91,66,1860,9001,6,20646240,16681088,12141684,107688,618840,8328
1786477636.4495163,37,8726,24.12,66,1800,14001,6,20707064,16731536,13361124,107684,642259,8445
1786477637.001468,8,8726,24.36,66,1762,14001,4,20968940,16400736,13673820,206424,649364,8474
1786477637.5855653,6,8726,20.93,66,1785,9001,3,21239956,16029824,13934588,347696,656032,8515
1786477638.1296444,49,8726,20.41,66,1770,9001,5,21112972,16115484,13913556,356184,666511,8999
1786477638.6524863,45,8726,26.13,67,1807,14001,4,21162240,16125956,13885024,356012,680154,9291
1786477639.1745358,52,8726,31.86,67,1785,14001,3,21177596,16121752,14282312,355892,692300,9640
1786477639.697631,3,8794,32.39,67,1785,14001,3,21099048,16139060,14410172,351432,711673,10869
1786477640.2245948,86,8794,34.60,68,1755,14001,6,21011324,16204364,14463544,351296,712586,10942
1786477640.7475789,83,8826,38.20,68,1830,14001,4,20994400,16205696,14519440,350912,714557,11061
1786477641.2687058,46,8826,38.69,68,1830,14001,3,20895968,16225728,14657276,344048,747664,12798
1786477641.7958963,24,8826,39.94,68,2115,14001,2,20894484,16234612,14668488,343824,747895,12869
1786477642.3212318,22,8826,40.90,69,2145,9001,5,20933092,16237768,14610592,343600,748458,13080
1786477642.8466754,23,8826,41.24,69,2152,9001,3,20925756,16262788,14614732,343400,749246,13336
1786477643.3768265,27,8826,40.20,69,2145,9001,2,20936528,16279392,14637264,343348,749942,13461
1786477643.90473,18,8826,37.07,69,2137,9001,2,20951168,16282796,14640472,343300,750051,13503
1786477644.4286978,20,8826,38.06,69,2137,9001,3,20937096,16285356,14654772,343288,750362,13574
1786477644.955883,28,8826,38.08,69,2160,9001,3,20973020,16241264,14658432,343264,750468,13600
1786477645.4827616,23,8826,37.60,69,2145,9001,2,20956792,16226292,14661592,343224,750572,13652
1786477646.0114563,15,8826,37.71,69,2182,14001,3,21019772,16169444,14644676,363028,750685,13703
1786477646.536806,23,8826,38.90,70,2107,14001,5,20927136,16185380,14643708,366364,750745,13737
1786477647.0681515,16,8826,37.26,70,2130,9001,6,20951296,16114948,14582272,426924,750765,13749
1786477647.6010084,20,8826,34.81,70,2137,9001,3,20977764,16072660,14537596,472824,750860,13769
1786477648.1319864,19,8826,36.09,70,2152,9001,4,20999916,16036628,14483880,529116,750943,13789
1786477648.6707158,18,8826,36.70,70,2280,9001,4,21046824,15979428,14426596,588524,750990,13808
1786477649.201981,17,8826,36.27,71,2265,9001,7,21039124,15987508,14398272,620716,751076,13827
1786477649.731137,19,8826,36.49,72,2287,9001,6,21032136,15940872,14348972,673064,751142,13837
1786477650.258957,18,248,33.73,71,2197,9001,7,21187648,15922184,1596036,697804,751248,14364
1786477650.7809572,0,222,24.22,69,1755,9001,4,21478172,15958860,0,0,751902,29217
