unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477700.6086843,0,2,4.76,61,180,405,25,21296436,17611812,14612,0,1266,22
1786477701.1338336,0,13,5.53,61,180,405,24,21265916,17615680,305892,0,25554,478
1786477701.6609478,2,190,8.37,62,1125,9001,26,21059612,17651276,494148,0,49012,493
1786477702.1797326,1,4086,14.39,62,1755,9001,32,17943712,17803068,1174328,0,221706,493
1786477702.7048674,0,4086,13.95,62,1755,9001,37,15083164,17807824,1174012,0,221716,493
1786477703.2287772,0,4086,13.69,62,1755,9001,28,12826060,17799720,1174012,0,221716,493
1786477703.7549522,0,4086,13.77,62,1755,9001,25,11169644,17793372,1143560,0,221716,493
1786477704.3248446,0,4086,13.81,62,1755,9001,19,9778880,17799588,1041564,0,221716,493
1786477704.851818,0,4086,13.79,62,1755,9001,23,8549108,17811556,1041580,0,221722,493
1786477705.3741126,0,4086,13.78,62,1755,9001,26,6638700,17809216,1038308,0,221722,493
1786477705.8971334,0,4086,13.75,62,1755,9001,26,6515168,17815896,1038308,0,221722,493
1786477706.4228861,0,4086,13.73,62,1755,9001,18,6284984,17816912,1038300,0,221722,493
1786477706.948855,0,4086,13.73,62,1755,9001,11,6074304,17816224,1038324,0,221728,493
1786477707.470021,0,4086,13.76,62,1755,9001,7,5924552,17815944,1037420,0,221728,493
1786477707.9919004,0,4086,13.72,62,1755,9001,6,5690396,17809416,1032124,0,221728,493
1786477708.5149276,0,4086,13.73,62,1755,9001,4,5535888,17795416,1032124,0,221728,493
1786477709.035946,0,4086,13.73,62,1755,9001,3,5247156,17788592,1032148,0,221734,493
1786477709.5580523,0,4086,13.73,62,1755,9001,4,5111444,17775668,1032148,0,221734,493
1786477710.0850298,24,4086,14.30,62,1770,9001,4,5107380,17747296,1037260,0,222773,507
1786477710.6092603,23,4086,15.02,62,1755,9001,5,5263504,17735864,1024332,0,222779,507
1786477711.1330013,20,4086,15.64,63,1770,9001,3,5332460,17705316,1018084,0,222791,515
1786477711.6560562,0,4086,15.53,63,1845,9001,18,5296756,17706596,1027060,0,222893,545
1786477712.1803675,0,4086,14.70,63,1755,9001,18,5299996,17701828,1027576,0,223281,545
1786477712.7030723,0,4086,13.73,63,1755,9001,19,5285480,17704496,1027948,0,223374,545
1786477713.2272117,0,4086,13.74,63,1755,9001,23,5312888,17705484,1028332,0,223470,545
1786477713.7502775,0,4086,13.79,63,1755,9001,22,5321860,17696620,1028744,0,223573,545
1786477714.273157,0,4086,13.78,63,1755,9001,21,5342016,17697276,1029140,0,223672,545
1786477714.7963598,0,4086,13.77,63,1755,9001,21,5291292,17699500,1029544,0,223773,545
1786477715.319212,0,4086,13.78,63,1755,9001,21,5278428,17717260,1029964,0,223878,545
1786477715.8423972,0,4086,13.77,63,1755,9001,22,5300088,17724004,1030384,0,223983,545
1786477716.365392,0,4086,13.78,63,1755,9001,24,5278436,17729964,1030808,0,224089,545
1786477716.8922532,0,4086,13.79,63,1755,9001,21,5427684,17657216,1031152,0,224175,545
1786477717.4963956,0,4086,13.81,63,1755,9001,21,5721272,17249220,910756,120264,224201,545
1786477718.0712953,0,4086,13.85,63,1755,9001,24,5786104,17197148,909992,120264,224277,550
1786477718.598299,0,4086,13.90,63,1755,9001,30,5756352,17215632,910400,120260,224378,551
