unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477753.1768131,0,2,4.90,63,180,405,0,22453924,15818048,18812,0,1702,18
1786477753.6995194,0,46,5.61,63,180,405,1,22173848,15891744,377692,0,14379,271
1786477754.2417324,0,190,8.28,63,1822,9001,1,22019272,15904276,875468,0,43309,275
1786477754.7595367,0,190,13.53,63,1755,9001,1,21973932,15917260,2915232,0,75430,275
1786477755.2855625,0,190,13.84,63,1755,9001,1,21922556,15919180,5979496,0,123446,275
1786477755.8035724,0,190,13.83,63,1755,9001,1,22182180,15918392,9191420,0,173855,275
1786477756.3273509,0,190,13.83,63,1755,9001,1,22176028,15966240,13091040,0,234858,275
1786477756.8456874,0,190,13.84,63,1755,9001,1,22194384,15968120,16114080,0,282481,275
1786477757.3676243,0,190,13.86,63,1755,9001,1,22184524,15978364,18941292,0,327044,275
1786477757.8877,0,190,13.85,63,1755,9001,1,22220120,16105004,20839048,0,357005,275
1786477758.5117507,0,190,13.86,63,1755,9001,2,22270332,16066296,21664160,0,370967,275
1786477759.3656948,0,190,13.86,63,1755,9001,2,22454404,15845768,21758120,0,380745,275
1786477759.8960187,2,8106,13.91,63,1762,9001,2,22376104,15839044,21631944,0,382842,303
1786477760.417766,16,8106,20.12,64,1777,9001,1,22464612,15774676,21636476,0,389923,419
1786477761.0281298,13,8106,21.31,64,1777,9001,1,22736260,15401752,21795676,70944,393747,504
1786477761.6147583,7,8106,20.50,64,1755,9001,1,22939172,15147864,21962920,91732,395817,15933
1786477762.1608622,21,8106,19.31,64,1815,9001,1,23038852,15021656,22083572,134228,397798,26459
1786477762.6879945,0,8842,17.99,64,1755,9001,1,23065056,14926880,11481428,118980,419082,30282
1786477763.235182,1,8862,15.95,64,1800,9001,6,22774996,15011116,11047484,130172,443293,32284
1786477763.7719226,0,8864,17.24,64,1845,9001,13,22704584,15079336,10688824,129808,443734,35376
1786477764.2961202,0,8864,16.86,64,1755,9001,11,22678796,15112420,10430792,129808,443734,35376
1786477764.8180404,0,8864,14.09,64,1755,9001,8,22626008,15158556,10176776,129808,443734,35376
1786477765.3431628,0,8864,13.96,64,1755,9001,17,22467516,15369804,9309920,104448,445324,41725
1786477765.8631728,7,8954,14.67,65,1815,9001,24,22133100,15454132,9363732,98532,517302,49399
1786477766.3862734,0,8954,15.86,64,1800,9001,29,21908864,15496056,9746752,98120,567015,49603
1786477766.910953,44,8954,23.29,65,1785,14001,29,21964112,15498740,10440020,98120,579537,49860
1786477767.4340327,38,8954,28.60,65,1792,14001,27,21965712,15616792,11003896,98120,590273,50137
1786477767.960326,36,8954,27.70,65,1800,14001,24,21969640,15614832,11837628,98120,604974,50266
1786477768.4840598,72,8954,31.55,66,1447,14001,33,21956600,15618156,12022436,98120,608456,50352
1786477769.0134163,87,8986,36.47,66,1822,14001,32,21955628,15629368,12074492,98000,612310,50385
1786477769.5432007,90,8988,39.53,67,1417,14001,31,21940444,15638140,12084072,97920,612870,50405
1786477770.0682652,89,8988,40.78,68,1830,14001,25,21896616,15645764,12095672,97920,613070,50406
1786477770.5894456,95,8988,41.35,67,1792,14001,23,21844392,15680928,12095804,97916,613072,50407
1786477771.1131673,95,8988,41.03,67,1837,14001,20,21818752,15692384,12101708,97916,613228,50409
1786477771.6361613,97,8988,40.49,67,1822,14001,20,21816080,15701212,12104968,97912,613289,50410
1786477772.1601932,95,8988,41.26,67,1830,14001,18,21808148,15706568,12106920,97912,613322,50410
1786477772.6814182,97,8988,41.36,68,1822,14001,17,21763832,15712632,12106920,97912,613322,50410
1786477773.203421,98,8988,43.21,68,1830,14001,22,21760736,15716020,12106996,97912,613324,50410
1786477773.7262142,95,8988,40.88,68,1822,14001,25,21774660,15718212,12106996,97912,613324,50410
1786477774.2484765,95,8988,42.44,68,1830,14001,33,21746208,15720420,12108828,97912,613359,50410
1786477774.7782862,93,8988,40.28,69,1822,14001,36,21645400,15730788,12108892,97912,613360,50410
1786477775.3072836,94,8988,40.16,69,1387,14001,36,21671752,15747764,12109084,97912,613408,50410
1786477775.8375313,90,8988,40.46,68,1837,14001,37,21481380,15793152,12109148,97912,613409,50410
1786477776.3685408,92,8988,40.90,68,1402,14001,38,21562024,15803340,12109152,97908,613409,50411
1786477776.8902984,93,8988,41.29,69,1822,14001,28,21491960,15809260,12109280,97908,613411,50411
1786477777.4123313,100,8988,40.53,68,1320,14001,17,21404000,15819012,12109280,97908,613411,50411
1786477777.934338,100,8988,41.85,70,1642,14001,10,21335856,15820168,12109344,97908,613412,50411
1786477778.4565144,99,8988,41.90,69,1822,14001,6,21410372,15824604,12109344,97908,613412,50411
1786477778.9783666,100,8988,42.43,69,1830,14001,4,21541768,15842624,12109400,97908,613413,50411
1786477779.500386,98,8988,44.72,71,1650,14001,2,21521144,15845968,12109528,97908,613415,50411
1786477780.024414,99,8988,41.87,70,1822,14001,2,21402212,15866428,12109528,97908,613415,50411
1786477780.5464435,100,8988,43.53,69,1230,14001,2,21390588,15869620,12109644,97908,613417,50411
1786477781.0684578,99,8988,41.50,70,1822,14001,1,21391916,15876128,12109648,97904,613417,50412
