unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477904.7617977,0,2,4.96,63,180,405,1,22047232,16647208,14048,0,1203,22
1786477905.2859573,0,33,4.96,63,180,405,1,21941636,16663568,313436,0,18949,272
1786477905.8138704,2,190,7.92,63,1642,9001,2,21743844,16667296,1043456,0,53052,287
1786477906.33189,0,190,9.64,63,1755,9001,5,21722076,16676876,4118464,0,101339,287
1786477906.8498409,0,190,14.31,63,1755,9001,5,21678072,16694176,10981008,0,209461,287
1786477907.37114,0,190,13.84,63,1755,9001,4,21960816,16674684,17967584,0,319835,287
1786477907.9919646,0,190,13.84,63,1755,9001,4,22203680,16326672,18237788,0,324121,287
1786477908.5769305,0,190,13.85,63,1755,9001,3,22469348,15975000,18453312,104664,329281,299
1786477909.1750135,0,190,13.86,63,1755,9001,3,22444092,15989160,19613024,105248,350404,319
1786477909.7109706,0,190,13.88,63,1755,9001,2,22553036,15851848,20435408,105240,363633,321
1786477910.296086,0,190,13.90,63,1755,9001,4,22672900,15613236,21035040,152408,374042,323
1786477910.8230233,0,8106,13.91,63,1755,9001,6,22706260,15591984,21973988,150880,390454,708
1786477911.3701906,48,8106,14.26,64,1785,9001,4,22668260,15581496,21970248,150816,390547,771
1786477911.8941908,56,8106,17.81,64,1800,9001,3,22650248,15617864,21514804,150804,390812,836
1786477912.4200702,37,9666,23.56,64,1995,9001,5,22204076,15742792,10879404,137680,484524,4314
1786477912.9440498,8,9668,23.87,65,1927,9001,4,22150260,15758688,10743564,126908,494184,7667
1786477913.4693592,49,9758,26.96,68,1747,9001,2,21744968,15768324,11248884,123328,601858,9278
1786477913.9970932,59,9758,30.01,66,1815,14001,2,21725408,15775908,11584944,123324,608480,9576
1786477914.5187068,51,9758,34.51,66,1807,14001,1,21773620,15781176,11983464,123324,616758,9904
1786477915.043125,26,9758,35.06,66,1837,14001,1,21743680,15789956,12118680,123308,620021,10051
1786477915.570378,99,9758,37.94,67,1605,14001,1,21670360,15804920,12184556,123304,632574,10063
1786477916.1042576,86,9794,39.38,66,1822,14001,1,21599324,15806736,12285312,123064,652179,10131
1786477916.632547,36,9794,42.68,68,2182,14001,0,21589744,15814652,12291776,122520,653293,10267
1786477917.1633868,44,9794,44.90,67,1320,14001,0,21557008,15851096,12292500,122396,653305,10298
1786477917.691821,35,9794,45.28,68,2115,14001,0,21565696,15855528,12292848,122308,653311,10320
1786477918.2255855,37,9794,44.21,67,1350,14001,0,21540160,15861136,12293004,122240,653315,10346
1786477918.7568705,35,9794,44.81,68,2085,14001,0,21540412,15864968,12293828,122184,653339,10363
1786477919.2943797,41,9794,44.94,67,1342,14001,0,21553512,15886444,12262608,122132,653344,10376
1786477919.8272665,36,9794,45.31,68,2002,14001,1,21451372,15896936,12263000,122068,653350,10392
1786477920.3543668,42,9794,44.28,67,1402,14001,1,21446884,15905304,12263740,122008,653365,10408
1786477920.8783915,36,9794,44.80,69,1920,14001,1,21451080,15906548,12263920,121956,653367,10421
1786477921.4063594,42,9794,44.95,68,1575,14001,1,21453204,15908072,12267480,121876,653435,10448
1786477921.9336066,38,248,45.33,68,1927,14001,0,21768340,15918140,6445876,117196,653460,10844
1786477922.45244,23,222,42.31,67,1680,14001,0,21892260,15975772,0,0,653864,23198
