unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477941.3120496,0,2,4.92,62,180,405,7,22025700,16571400,14144,0,1222,23
1786477941.8350961,0,23,4.92,62,180,405,6,22097444,16584960,311400,0,14224,292
1786477942.3651235,2,190,9.07,63,1170,9001,5,21884292,16587952,851424,0,43405,301
1786477942.8854685,0,190,10.53,63,1755,9001,3,21888572,16596404,4057312,0,93575,301
1786477943.4083385,0,190,14.15,63,1755,9001,9,21936720,16621072,12806764,0,231258,301
1786477943.932135,0,190,13.76,63,1755,9001,6,21920356,16623492,17464468,0,305238,301
1786477944.453432,0,190,13.73,63,1755,9001,5,21922608,16627516,18628156,0,325957,301
1786477944.976244,0,190,13.74,63,1755,9001,4,22130808,16370544,19367800,0,337553,301
1786477945.5932229,0,190,13.75,63,1755,9001,4,22403060,15982776,19959876,81208,348293,307
1786477946.1782203,0,190,13.76,63,1755,9001,3,22624096,15685116,20494320,93580,357615,312
1786477946.7415175,0,190,13.79,63,1755,9001,3,22712032,15512788,21265528,132216,371419,321
1786477947.2662466,0,190,13.80,63,1755,9001,4,22943744,15310320,21793676,132212,380387,322
1786477947.8852766,0,8106,13.79,63,1755,9001,3,23038104,15040376,21970324,143436,383964,893
1786477948.4133863,52,8106,15.20,63,1785,9001,3,23032224,15100320,21884436,143428,385264,1223
1786477948.9373279,49,8106,19.58,64,1785,9001,3,22995268,15139588,15295772,143416,386792,1460
1786477949.4584486,0,192,23.10,64,1912,9001,3,22913212,15245856,309728,100156,396224,11524
1786477949.975727,0,2,23.53,64,1755,9001,3,22969212,15401588,0,0,396394,21206
1786477950.509075,0,2,19.50,64,1755,9001,4,22793936,15627276,0,0,396394,21206
1786477951.025727,0,2,16.59,63,1755,9001,3,22707612,15701560,0,0,396394,21206
