unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786478329.7360709,0,2,5.48,66,180,405,15,20853380,18299236,14084,0,1226,21
1786478330.2610443,0,31,6.05,66,180,405,15,20629404,18354280,315388,0,13644,268
1786478330.7790449,0,190,8.48,67,1792,9001,15,20430912,18354424,588524,0,37505,283
1786478331.2989485,0,190,14.41,67,1755,9001,15,20346752,18355008,3490672,0,82942,283
1786478331.8178482,0,190,14.43,67,1755,9001,15,20720828,18288036,5446600,0,113555,283
1786478332.3950644,0,190,14.44,67,1755,9001,15,20849848,18089104,6008236,0,122507,283
1786478332.916937,0,190,14.48,67,1755,9001,15,20824340,18084380,17384472,0,300384,283
1786478333.4416358,0,190,14.44,67,1755,9001,15,20889160,18038872,18963052,0,325457,283
1786478334.0086153,0,190,14.44,67,1755,9001,14,21113084,17690836,19283204,0,330533,283
1786478334.5780833,0,190,14.47,67,1755,9001,14,21379724,17344576,19557700,0,334848,283
1786478335.1811461,0,190,14.53,67,1755,9001,14,21613252,17034352,19778152,92304,340012,297
1786478335.7871292,0,190,14.50,67,1755,9001,15,21751544,16857172,20263868,125452,348597,321
1786478336.3712823,0,190,14.48,67,1755,9001,15,21909588,16645656,20722184,125392,355913,336
1786478336.931353,0,190,14.44,67,1755,9001,15,22025292,16473116,21335276,125392,366346,336
1786478337.7431316,0,190,14.47,67,1755,9001,15,22281144,16125432,21528112,125376,369732,343
1786478338.35625,0,8106,14.47,67,1755,9001,14,22333884,15998452,21606844,123896,380906,724
1786478338.9204373,5,8106,15.02,67,1777,9001,15,22413508,15916680,21695440,123876,389495,756
1786478339.463159,36,8106,15.66,67,1755,9001,15,22386752,15915004,21440236,123872,390420,869
1786478339.9861615,54,8106,17.99,67,1792,9001,14,22327580,15926484,18186464,123840,390816,1010
1786478340.5082533,7,8730,22.57,68,2017,9001,15,22172076,15984516,10629188,114200,427260,4065
1786478341.0342429,14,8730,25.28,68,1957,9001,15,22137452,16019948,10617860,113908,427437,4147
1786478341.5552387,0,8730,22.71,68,1755,9001,15,22129408,16028548,10556468,113908,427437,4147
1786478342.0755455,0,8820,20.18,67,1762,9001,14,21868444,16041504,10757864,98572,483385,8073
1786478342.5992785,49,8820,22.55,69,1725,14001,15,21705184,16043964,10916700,98192,528567,8357
1786478343.1222882,52,8820,28.94,68,1800,14001,15,21660188,16044964,11136288,98192,532900,8672
1786478343.6462853,57,8820,33.20,68,1807,14001,14,21695596,16042784,11284964,98192,535819,8928
1786478344.170487,81,8820,36.90,69,1365,14001,15,21675952,16040404,11384820,98180,548497,8989
1786478344.6979291,82,8820,39.17,69,1830,14001,16,21677152,16045404,11401400,98180,548908,9005
1786478345.222635,3,8822,37.99,69,1852,14001,17,21563144,16050780,11440756,98156,561171,9048
1786478345.7474504,86,8822,38.17,71,1327,14001,17,21569380,16054236,11444728,98156,561317,9054
1786478346.271542,81,8856,38.44,69,1822,14001,16,21480696,16056460,11519492,97940,577525,9115
1786478346.789431,34,8856,40.76,71,2070,14001,16,21449328,16059980,11536408,97348,580688,9266
1786478347.321459,39,8856,45.02,70,1837,14001,15,21442604,16061612,11536576,97244,580689,9292
1786478347.8468246,33,8856,44.66,71,1695,14001,15,21408092,16077704,11536868,97144,580692,9317
1786478348.3734865,40,8856,44.35,70,1822,14001,15,21414908,16080720,11536952,97124,580693,9322
1786478348.9005046,35,8856,44.73,71,1710,14001,14,21388152,16085064,11537268,97064,580697,9337
1786478349.4306054,34,8856,44.48,70,1822,14001,15,21404812,16098584,11537572,97016,580699,9351
1786478349.9595745,27,8856,44.83,71,1830,14001,15,21378424,16142060,11538508,96912,580710,9379
1786478350.4837534,41,8856,44.36,71,1852,14001,14,21356532,16153316,11538756,96856,580713,9393
1786478351.0096376,35,8856,44.83,71,1635,14001,15,21331892,16164876,11538820,96792,580713,9409
1786478351.5425825,42,8856,44.68,71,1845,14001,15,21380404,16255412,11539756,96776,580738,9422
1786478352.068613,38,8856,44.83,71,1642,14001,16,21363584,16256192,11540244,96736,580745,9432
1786478352.5977197,54,8856,41.96,71,1642,14001,16,21180516,16259392,11695072,95328,629305,9785
1786478353.1249676,95,8856,36.96,71,1830,14001,16,21168488,16260176,11743836,95328,639963,9785
1786478353.6558678,36,8856,41.81,72,2175,14001,16,21184136,16261968,11721388,95328,639963,9785
1786478354.1841276,44,8856,44.99,71,1087,14001,16,21182292,16262400,11721288,95324,639964,9786
1786478354.7107992,34,8856,44.17,72,2062,14001,14,21114232,16274112,11723452,95324,640013,9802
1786478355.237733,44,248,44.80,71,1320,14001,15,21214240,16287696,7977692,91784,640081,9918
1786478355.7577567,0,248,34.35,70,1755,14001,15,21522332,16330248,842132,50528,640438,20818
