unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786478596.1873674,0,2,5.74,69,180,405,15,21444288,17560300,14752,0,1290,19
1786478596.7133198,0,22,6.86,68,180,405,14,21224508,17575500,309000,0,13048,225
1786478597.240359,0,190,9.96,69,1875,9001,15,20983000,17577240,502504,0,36295,241
1786478597.7583575,0,190,15.22,69,1755,9001,15,20936700,17577476,2587820,0,69239,241
1786478598.2766051,0,190,14.92,69,1755,9001,16,20908128,17577624,5447048,0,114285,241
1786478598.79741,0,190,14.91,69,1755,9001,16,20879184,17577708,14955512,0,263028,241
1786478599.31451,0,190,14.90,68,1755,9001,16,21243668,17536180,19091320,0,327902,241
1786478599.8945162,0,190,14.88,68,1755,9001,15,21417536,17264116,19454796,0,333692,241
1786478600.4644415,0,190,14.86,68,1755,9001,15,21522824,17143960,20229804,0,346135,241
1786478601.0216582,0,190,14.86,68,1755,9001,15,21750784,16831280,20505124,39312,351158,246
1786478601.6195147,0,190,14.85,68,1755,9001,15,21949608,16521592,20749960,94572,355993,257
1786478602.1461842,0,190,14.84,68,1755,9001,15,22129044,16309888,21241812,94572,363852,257
1786478602.785352,0,190,14.86,68,1755,9001,14,22414092,15900700,21508524,94496,368080,276
1786478603.3745449,0,190,14.86,68,1755,9001,14,22729464,15472432,21753164,126604,372488,285
1786478604.0135498,0,8106,14.81,68,1755,9001,15,22702084,15474920,22169068,125140,381010,709
1786478604.614596,33,8106,15.70,68,1785,9001,16,22656372,15502244,22125808,125096,381734,883
1786478605.1399152,48,8106,23.62,69,1822,9001,16,22455324,15678588,21791620,125084,382533,1007
1786478605.6628494,14,8864,26.28,70,1770,9001,16,22326176,15701472,11221164,113124,426380,4387
1786478606.1876805,0,8864,23.78,69,1755,9001,16,22314700,15705892,11182464,113124,426380,4387
1786478606.7096758,1,8954,23.32,69,1815,9001,17,22105416,15713864,11389108,99972,475590,7952
1786478607.2307534,44,8954,26.19,69,1845,9001,18,21860036,15730160,11261616,99652,533647,8189
1786478607.7590315,42,8954,29.03,69,1800,14001,19,21731408,15880488,11071252,99652,538262,8558
1786478608.283989,44,8954,28.78,70,1815,14001,19,21624268,15998920,11364440,99652,543857,8963
1786478608.8077176,42,8956,29.84,69,1800,14001,19,21629884,16094168,11614424,99644,549139,9310
1786478609.3379724,93,8956,33.11,70,1837,14001,18,21589460,16166100,11627628,99640,560886,9313
1786478609.8638906,96,8956,39.04,70,1597,14001,18,21567184,16168328,11633068,99640,560974,9333
1786478610.3910515,90,8956,40.77,72,1822,14001,18,21500972,16161184,11663808,99588,575847,9365
1786478610.9191685,32,8956,41.44,72,1875,14001,17,21507340,16162208,11671584,99000,577020,9549
1786478611.453843,35,8956,44.29,71,1897,14001,17,21516328,16162932,11672296,98904,577044,9579
1786478611.9801543,34,8956,44.43,71,1185,14001,17,21506332,16165236,11675012,98828,577107,9612
1786478612.5110822,38,8956,44.28,71,1965,14001,17,21499224,16172264,11675604,98748,577125,9634
1786478613.040918,35,8956,44.58,72,1282,14001,17,21485780,16174976,11675876,98668,577128,9654
1786478613.5699878,37,8956,44.69,71,1950,14001,17,21496416,16182060,11676472,98584,577134,9677
1786478614.104341,35,8956,44.69,71,1230,14001,16,21445300,16185268,11678240,98512,577168,9698
1786478614.6340458,36,8956,45.41,71,1432,14001,16,21483812,16192716,11678524,98468,577171,9710
1786478615.1670556,34,8956,44.73,71,2002,14001,16,21434704,16198116,11678760,98424,577180,9721
1786478615.6942554,35,8956,45.11,72,1665,14001,18,21364792,16246644,11680848,98380,577228,9745
1786478616.2170353,38,8956,44.56,72,1890,14001,17,21357080,16251468,11680864,98364,577228,9749
1786478616.745039,64,8956,43.33,72,1515,14001,18,21239972,16256776,11833048,97196,615311,10041
1786478617.2708573,94,8988,39.50,71,1770,14001,18,21231900,16258176,11834188,97192,615330,10043
1786478617.7971237,95,8990,40.84,71,1830,14001,17,21211620,16259568,11832516,97016,618640,10087
1786478618.3191326,91,8990,41.63,72,1837,14001,17,21159120,16262492,11881532,97016,621186,10087
