unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786481865.053068,0,2,3.96,53,180,405,3,21129280,17826340,13188,0,1122,15
1786481865.5761049,0,13,4.45,53,180,405,3,21036080,17826796,298328,0,20976,310
1786481866.100128,0,190,6.47,53,1447,9001,3,20869764,17833768,488560,0,50055,326
1786481866.6181827,0,190,10.85,53,1755,9001,3,20728636,17833844,2506060,0,82298,326
1786481867.1391325,0,190,12.51,53,1755,9001,3,20776472,17833860,5094376,0,122897,326
1786481867.6622171,0,190,12.24,53,1755,9001,3,20847136,17833884,7113704,0,154699,326
1786481868.1851711,0,190,12.26,53,1755,9001,3,20841012,17833944,9145320,0,186691,326
1786481868.706226,0,190,12.36,53,1755,9001,4,20805480,17834100,11143528,0,218056,326
1786481869.228208,0,190,12.43,53,1755,9001,3,20859904,17834220,13355332,0,252633,326
1786481869.750285,0,190,12.37,53,1755,9001,2,20789432,17836072,15518724,0,286462,326
1786481870.2853105,0,190,12.26,53,1755,9001,2,20622016,17837160,16906212,0,308761,326
1786481870.8073444,0,190,12.38,54,1755,9001,1,20714344,17809160,19133928,0,343897,326
1786481871.355281,0,190,12.32,54,1755,9001,1,20952944,17644336,19840356,0,356719,330
1786481871.941313,0,190,12.30,54,1755,9001,0,21072308,17511172,20345416,0,364882,330
1786481872.4963305,0,190,12.30,54,1755,9001,1,21141296,17416260,20505024,0,373511,330
1786481873.0263429,0,8534,12.29,54,1755,9001,0,21112988,17380520,20552368,0,396796,361
1786481873.5493593,20,8534,12.89,54,1785,9001,1,21086096,17383280,20473904,0,420031,394
1786481874.071382,26,8534,13.94,54,1785,9001,1,21112692,17384360,20395228,0,445456,416
1786481874.5947118,17,8534,14.54,54,1762,9001,1,21119660,17385280,20313768,0,467542,419
1786481875.1184213,20,8534,14.24,54,1785,9001,1,21125252,17385772,20324444,0,490373,421
1786481875.641518,19,8534,14.18,54,1762,9001,1,21082544,17386532,20080376,0,511316,432
1786481876.1634543,44,9788,15.15,55,1965,9001,1,20968324,17374880,19401816,0,555804,6241
1786481876.8367202,1,9788,16.06,55,1830,9001,0,21434704,16699960,19434744,99788,559735,10415
1786481877.3975825,6,9788,14.44,55,1807,9001,0,21707052,16407004,19539412,134540,566674,13225
1786481878.073528,4,9788,13.99,55,1845,9001,0,22025800,15896104,19713112,135856,581067,13615
1786481878.673951,1,9880,14.08,55,1800,9001,0,21849368,15715784,19723712,180180,664426,14706
1786481879.1998856,36,9880,20.52,56,1927,14001,2,21759876,15755920,20131060,180148,690232,14762
1786481879.722792,25,9880,26.26,56,1785,14001,3,21723560,15754788,20050592,180144,710759,14821
1786481880.2459178,23,9880,24.40,56,1785,14001,3,21741700,15728332,20271348,180144,722873,14870
1786481880.7737088,4,9880,22.75,56,1755,14001,3,21748704,15753416,20580724,180144,741813,14950
1786481881.2968102,34,9880,23.28,56,1785,14001,3,21738484,15755932,20499200,180136,746998,15140
1786481881.8216987,96,9880,34.40,58,1867,14001,3,21731928,15758960,20305176,179844,748069,15335
1786481882.3499095,98,9880,39.37,58,1845,14001,3,21683412,15758580,20001744,179784,760692,15356
1786481882.8777483,99,9880,46.53,59,1852,14001,3,21701672,15764748,19831844,179784,761877,15361
1786481883.4037957,98,9880,49.26,59,1852,14001,3,21699956,15768460,19644524,179784,762225,15364
1786481883.9298208,20,9880,47.66,61,2550,14001,2,21630356,15774692,19471908,173592,778941,16943
1786481884.4647572,29,9880,54.82,62,2737,9001,2,21640600,15776552,19217920,173444,779055,16984
1786481884.994819,23,9880,60.86,62,2737,14001,2,21593940,15789824,18958152,173348,779076,17008
1786481885.5259788,31,9880,59.12,62,2707,9001,2,21583540,15794276,18761484,173292,779169,17043
1786481886.0579958,29,9880,53.97,62,2767,14001,1,21582968,15797724,18558576,173184,779725,17171
1786481886.5859504,20,9880,53.35,62,2565,14001,1,21578604,15813524,18431456,173116,781183,17468
1786481887.1180751,27,9880,53.14,63,2677,14001,2,21485604,15828008,18480184,173088,783198,17805
1786481887.6467512,22,9880,52.65,63,2655,14001,1,21440232,15839084,18525292,173052,784213,17874
1786481888.1790574,29,9880,54.13,63,2737,9001,2,21453680,15830104,18552292,173004,784798,17937
1786481888.7132602,25,9880,51.89,63,2707,14001,2,21448444,15833236,18596332,172940,785834,18020
1786481889.2430227,22,9880,53.71,64,2677,14001,2,21355716,15852080,18744664,162980,846414,20513
1786481889.7689922,46,9880,52.01,67,1777,9001,2,21333984,15857636,18759176,162976,848000,20544
1786481890.2939694,93,9914,43.88,63,1837,14001,2,21316248,15858452,18758120,162780,850947,20595
1786481890.8182948,49,9916,43.85,62,1867,14001,2,21296536,15858892,18751668,162680,852050,20653
1786481891.3471944,88,9916,42.54,62,1845,14001,3,21267432,15870952,18696972,162680,863081,20678
1786481891.8700676,97,9916,46.10,63,1837,14001,3,21269804,15875944,18690608,162680,868203,20779
1786481892.3971386,98,9916,48.71,63,1852,14001,3,21289660,15879744,18520684,162680,868203,20779
1786481892.9280972,19,9916,46.45,65,2250,14001,2,21157660,15993824,18408032,162680,883909,21626
1786481893.4563308,22,9916,49.60,65,2497,9001,2,21148944,16002860,18385808,162676,888275,22411
1786481893.9861004,28,9916,55.02,65,2670,14001,1,21143896,16003336,18441360,162676,891336,22917
1786481894.513324,19,9916,57.37,65,2625,14001,2,21128828,16013068,18478688,162656,892757,23198
1786481895.0472772,30,9916,55.24,65,2722,9001,2,21109416,16023960,18431960,162636,893806,23375
1786481895.5815313,22,9916,53.54,66,2677,14001,2,21108604,16025296,18351444,162624,894248,23439
1786481896.110355,22,9916,56.63,66,2655,9001,2,21109292,16025956,18334296,162600,894711,23514
1786481896.6551971,26,9916,54.22,66,2700,9001,2,21043832,16099404,18302328,162588,895489,23608
1786481897.1829913,23,9916,53.52,67,2625,14001,2,21018348,16099728,18316640,162580,895824,23645
1786481897.7075732,26,9916,55.40,67,2715,9001,1,21005836,16111784,18326924,162532,896096,23716
1786481898.231584,23,9916,55.65,67,2715,14001,1,21036572,16112840,18285936,162500,896957,23896
1786481898.757328,30,9916,57.42,68,2715,9001,2,20876796,16118924,18240068,162480,961143,23947
1786481899.282292,86,9916,51.23,66,1905,14001,2,20886848,16121932,18302380,162480,968235,24098
1786481899.8073843,77,9916,43.66,67,1822,14001,3,20904540,16060188,18201784,228980,968237,24098
1786481900.3373733,98,9916,45.62,66,1837,14001,3,20949332,15996936,18139972,296316,968369,24122
1786481900.863713,99,9916,49.16,67,1837,14001,3,20974068,15905680,18104312,387348,980712,24149
1786481901.3903763,99,9916,50.38,66,1845,14001,3,20982616,15915484,18063096,437644,980911,24172
1786481901.9166756,23,9916,49.18,68,2392,14001,2,20983308,15894376,18094412,454964,992591,24248
1786481902.4504247,27,9916,54.63,68,2670,9001,2,20942596,15895040,18094128,454740,992600,24304
1786481902.979761,23,9916,60.33,69,2722,14001,2,20949720,15896940,18093244,454620,992601,24334
1786481903.5104592,30,9916,61.13,69,2707,9001,2,20948712,15899776,18092080,454552,992603,24351
