unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786482163.6379883,0,2,4.31,57,180,405,3,21260744,17319340,14632,0,1269,18
1786482164.1610913,0,32,4.31,57,180,405,2,21034616,17321164,362048,0,14536,537
1786482164.6790433,0,166,8.87,58,1380,9001,3,20893184,17331088,467316,0,38143,541
1786482165.1968992,0,166,10.26,58,1770,9001,3,20859692,17379452,473408,0,39682,541
1786482165.7149103,0,166,13.04,58,1755,9001,3,20832940,17379536,473720,0,41293,541
1786482166.2340121,0,166,13.03,58,1762,9001,3,20817708,17379660,473736,0,41811,541
1786482166.7520058,0,166,13.02,58,1762,9001,3,20835608,17381296,473736,0,42333,541
1786482167.2692788,0,166,13.00,58,1755,9001,3,20834680,17381344,473736,0,43376,541
1786482167.7872872,0,166,13.03,58,1755,9001,3,20787216,17381956,473760,0,43904,541
1786482168.3050058,0,166,13.04,58,1762,9001,2,20791104,17383808,2006620,0,68055,541
1786482168.8230155,0,166,13.02,58,1755,9001,2,20851584,17385408,4841008,0,112712,541
1786482169.3403838,0,166,12.96,58,1755,9001,1,21349180,17228424,5922588,0,129765,541
1786482169.9496465,0,166,12.92,58,1755,9001,1,21447336,17075176,6696296,0,141985,541
1786482170.4851274,0,166,12.91,58,1755,9001,1,21590324,16886012,7323808,0,151892,541
1786482171.0813804,0,166,12.93,58,1755,9001,1,21866820,16517228,7549100,44828,156238,544
1786482171.7091382,0,166,12.98,58,1755,9001,0,22092912,16196360,8084344,99776,165739,568
1786482172.3174548,0,166,12.94,58,1755,9001,1,22415192,15760200,8350368,106868,170088,568
1786482172.892217,0,166,12.92,59,1755,9001,1,22447684,15674764,10162872,123604,198908,571
1786482173.4174075,0,166,12.97,59,1755,9001,0,22430700,15697576,16645688,123604,301630,571
1786482174.0122128,0,166,12.98,59,1755,9001,0,22411576,15714456,21051592,123584,371420,576
1786482174.6233203,0,9330,13.01,59,1755,9001,0,22430376,15720656,21750636,122936,388074,751
1786482175.1972458,28,9330,13.35,59,1762,9001,1,22461176,15658532,21610628,122192,389208,1078
1786482175.7362788,46,9330,15.11,59,1792,9001,1,22474632,15638336,21400852,122168,392360,1219
1786482176.267301,38,9330,18.05,59,1785,9001,1,22428984,15646072,21242260,122164,395010,1493
1786482176.7904768,44,10582,21.77,60,1792,9001,1,22287196,15663696,20697436,106616,438720,6507
1786482177.313326,0,10582,21.96,59,1837,9001,0,22266844,15668948,20448748,106616,438720,6507
1786482177.8353405,0,10582,16.19,59,1755,9001,1,22224508,15684028,20303272,96872,445602,9219
1786482178.3643672,8,10674,13.71,59,1755,9001,1,21822036,15709824,19796584,93572,537337,10933
1786482178.8894112,47,10674,21.73,60,1635,9001,3,21804932,15740740,19869088,93540,549315,11257
