unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786486696.3729587,0,2,4.42,57,180,405,12,19792124,18175484,188124,0,4775,0
1786486696.9051387,0,62,13.21,57,180,9001,8,19622888,18169088,401712,0,17776,15
1786486697.4249964,0,190,14.30,58,1845,9001,8,19472384,18176652,876080,0,42355,16
1786486697.9432635,0,190,13.60,58,1755,9001,8,19452320,18176908,3363188,0,81576,16
1786486698.4612064,0,190,13.03,58,1755,9001,8,19726228,18172720,6201100,0,126236,16
1786486698.9832058,0,190,13.04,58,1755,9001,8,19833696,18172972,16640052,0,289496,16
1786486699.5020368,0,190,13.04,58,1755,9001,7,19990596,18043336,17608964,0,305616,16
1786486700.0812414,0,190,13.06,58,1755,9001,6,19989296,17867760,18225632,0,315924,16
1786486700.6072218,0,190,13.04,58,1755,9001,6,20300852,17583948,18718096,0,323735,16
1786486701.2091506,0,190,13.04,58,1755,9001,5,20582028,17095656,18998096,12992,328378,17
1786486701.7702959,0,190,13.04,58,1755,9001,4,20729972,16899344,19419872,92468,336660,33
1786486702.3932624,0,190,13.07,58,1755,9001,3,20962096,16577752,19687108,92416,341787,49
1786486702.9433198,0,190,13.08,58,1755,9001,3,21176484,16319144,19924324,120260,349510,57
1786486703.484305,0,190,13.10,58,1755,9001,2,21467792,15936408,20250980,120260,354652,57
1786486704.092987,0,190,13.11,58,1755,9001,2,21617392,15723252,20719100,127204,362540,57
1786486704.7322526,0,190,13.09,58,1755,9001,2,21588440,15767856,20857196,127184,380717,62
1786486705.2582736,55,10848,15.29,59,1800,9001,3,21546560,15805384,20592144,125688,381381,647
1786486705.7812889,56,10848,20.35,59,1792,9001,4,21543632,15814908,20350880,125688,384538,894
1786486706.3045278,43,10848,23.67,59,1792,9001,5,21514720,15821652,20693964,125684,398143,1180
1786486706.82733,0,11586,22.55,59,1980,9001,4,21458552,15828868,6994696,116700,414339,3443
1786486707.3549008,10,11606,16.27,59,1755,9001,4,21503092,15708924,7141828,122204,450498,5928
1786486707.8954606,0,11606,14.90,59,1755,9001,5,21553824,15607592,7064436,122204,450498,5928
1786486708.4175653,0,11606,13.94,59,1755,9001,5,21548928,15588264,7000756,120868,450576,6272
1786486708.9386134,2,11696,13.94,59,1755,9001,7,21155584,15565636,6796668,114944,561378,10539
1786486709.4635448,46,11696,28.39,60,1755,9001,7,21101452,15572296,7314604,114764,582726,10805
1786486709.9867127,21,11696,23.09,59,1755,9001,10,21330440,15360380,7822616,114776,592608,10939
1786486710.5937614,9,11696,16.82,59,1755,9001,10,21488472,15064920,8301180,165260,602109,11147
1786486711.1157768,43,11698,16.08,59,1755,9001,11,21443500,15109916,9164276,162972,617672,11912
1786486711.6407638,88,11698,19.00,60,1755,9001,12,21331700,15116088,9221916,162644,629792,12008
1786486712.1727626,93,11698,25.75,61,1755,9001,23,21300520,15148940,9268852,162624,630588,12016
1786486712.7116692,90,11698,34.13,61,1860,9001,28,21219636,15162184,9347812,155664,646479,13826
1786486713.2398443,36,11698,73.28,65,2347,14001,29,21223824,15165520,9355344,155340,646632,13923
1786486713.7706676,36,11698,74.22,67,2655,14001,27,21239028,15168016,9358028,155176,646683,13973
1786486714.3039684,33,11698,74.37,67,2640,14001,25,21226164,15181588,9358124,155072,646683,14003
1786486714.83474,37,11698,76.79,68,2640,14001,18,21220632,15198016,9357600,154984,646687,14030
1786486715.3677995,38,11698,77.21,68,2677,14001,15,21191624,15277044,9355988,154924,646691,14046
1786486715.8999243,32,11698,73.85,68,2580,14001,21,21187780,15279592,9354460,154876,646697,14058
1786486716.4287093,32,11698,72.45,68,2595,14001,17,21085472,15376260,9359020,154800,646776,14080
1786486716.958777,38,11698,77.77,69,2655,14001,13,21088328,15429136,9359140,153616,646784,14377
1786486717.4807243,96,11698,61.09,68,2130,14001,11,20892808,15450776,9520652,142744,706322,17099
1786486718.0070164,92,11730,47.18,66,1852,14001,17,20868780,15449224,9533748,142428,709031,17181
1786486718.534891,90,11730,45.51,65,1875,14001,18,20841464,15453072,9582100,142428,720775,17181
1786486719.0688782,86,11730,45.10,66,1845,14001,18,20816740,15458144,9632668,142428,728352,17182
1786486719.6079528,36,11730,51.05,69,1875,14001,18,20763420,15510628,9632320,142424,728352,17183
1786486720.1348171,38,11730,65.92,70,2677,14001,17,20754196,15522644,9630136,142424,728353,17183
1786486720.666803,38,11730,78.43,71,2677,14001,17,20709296,15559284,9629456,142404,728353,17188
1786486721.1920347,36,11730,77.54,71,2685,14001,16,20654956,15693204,9533284,142400,728353,17189
1786486721.718033,32,11730,76.59,71,2647,14001,16,20639328,15699308,9406660,142376,728363,17197
1786486722.2439616,38,11730,73.14,71,2550,14001,16,20601516,15704464,9406904,142316,728364,17214
1786486722.7699347,37,11730,76.67,72,2632,14001,16,20620632,15705980,9285072,142300,728367,17220
1786486723.2945838,38,11730,77.90,72,2670,14001,16,20607968,15709576,9285280,142276,728368,17228
1786486723.8220208,85,11730,71.00,73,2355,14001,16,20542636,15707036,9432468,142248,785277,17235
1786486724.3672864,93,11730,55.06,68,1845,14001,16,20547556,15723140,9432244,142248,785277,17235
1786486724.8906167,92,11730,40.64,68,1882,14001,15,20486024,15723992,9486132,142248,794490,17237
1786486725.4180095,97,11730,50.44,69,1837,14001,17,20443992,15731224,9534896,142248,804126,17237
1786486725.9510522,33,11730,57.07,72,2100,14001,23,20453260,15732844,9533040,142248,804126,17237
1786486726.48209,33,11730,68.89,72,2662,14001,25,20389940,15769780,9533240,142220,804213,17265
