unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786486975.3860714,0,2,17.70,68,1755,9001,5,20594552,16247944,14112,0,1220,24
1786486975.908035,2,80,17.45,67,1777,9001,8,20337900,16250228,401364,0,17812,266
1786486976.4281971,0,190,14.51,67,1755,9001,11,20157732,16251564,916136,0,42907,270
1786486976.9490175,0,190,14.97,67,1755,9001,10,20138984,16252116,3046392,0,76447,270
1786486977.477126,0,190,14.80,66,1755,9001,7,20075160,16252528,6000772,0,123038,270
1786486977.99517,0,190,14.56,66,1755,9001,5,20049356,16253052,12799428,0,229516,270
1786486978.5140653,0,190,14.52,66,1755,9001,10,20500900,16222448,18709892,0,321933,270
1786486979.0503411,0,190,14.60,66,1755,9001,10,20653544,15981064,19100896,0,328910,270
1786486979.6402147,0,190,14.45,65,1755,9001,7,20825404,15657408,19582368,0,336633,270
1786486980.179139,0,190,14.24,65,1755,9001,5,21051884,15369576,19913220,1056,342497,270
1786486980.7811952,0,190,14.49,65,1755,9001,4,21272828,15078828,20435260,37588,351705,315
1786486981.3407354,0,190,14.20,65,1755,9001,3,21531188,14773560,20699092,37584,357201,316
1786486981.9343076,0,190,14.32,65,1755,9001,2,21696868,14516468,21091220,121756,365725,341
1786486982.4581945,0,190,14.14,64,1755,9001,1,21761124,14466556,21199104,121756,370609,341
1786486983.049238,0,190,14.12,64,1755,9001,1,21789956,14431648,21109704,121756,372943,341
1786486983.5823524,0,190,14.07,64,1755,9001,1,21942260,14245412,21265612,121744,376477,347
1786486984.1670492,5,8106,14.07,64,1755,9001,3,21894136,14190764,21007084,140440,383333,990
1786486984.689447,50,8106,20.63,64,1792,9001,6,21939140,14577784,21037032,140440,387674,1414
1786486985.2104824,43,8106,24.33,64,1785,9001,9,22034864,14687808,13687744,140428,389578,1637
1786486985.7333534,0,9038,23.86,64,1807,9001,6,21925108,14716092,10310528,123192,435601,6831
1786486986.2609315,0,9038,24.20,64,1950,9001,5,21911892,14727536,10235560,123192,435601,6831
1786486986.7814705,0,9038,22.20,64,1755,9001,3,21889216,14728632,10186884,123192,435601,6831
1786486987.299427,0,9038,19.40,64,1755,9001,4,21891644,14731984,10186884,123192,435601,6831
1786486987.8164754,0,9038,16.87,63,1755,9001,8,21897316,14708048,9890632,112872,454079,10249
1786486988.3437448,0,9128,15.64,63,1882,9001,12,21494840,14708788,9672212,109624,553108,11210
1786486988.8665063,40,9128,29.64,64,1800,14001,7,21499708,14714824,9992088,109624,566954,11503
1786486989.3915648,41,9128,34.29,64,1800,14001,5,21489216,14749496,10666776,109624,581175,11836
1786486989.913536,21,9128,34.61,64,1785,14001,3,21581640,14722488,10964684,109624,592974,12043
1786486990.4676266,64,9130,35.12,65,1867,14001,2,21557992,14742180,11265816,109592,599997,12300
1786486990.9905019,74,9130,36.56,64,1822,14001,1,21503120,14745816,11358392,109584,613195,12592
1786486991.5166392,89,9130,42.48,65,1830,14001,1,21450524,14757392,11431144,109584,614777,12704
1786486992.040805,95,9130,46.38,65,1837,14001,1,21368684,14765908,11526516,109040,631072,12912
1786486992.5715914,30,9130,53.51,68,2692,14001,6,21357032,14780440,11536524,108884,631252,12980
1786486993.1002495,28,9130,65.27,68,2700,14001,12,21286672,14784536,11541548,108780,631347,13011
1786486993.6266484,28,9130,68.42,69,2692,14001,13,21265820,14786712,11546008,108700,631435,13034
1786486994.1506863,31,9130,68.14,70,2707,14001,12,21215784,14788984,11546360,108616,631439,13056
1786486994.6789777,31,9130,70.30,70,2670,14001,14,21179996,14944956,11547396,108524,631452,13081
1786486995.208003,28,9130,68.92,69,2692,14001,12,21115688,14952724,11547808,108488,631457,13092
1786486995.7328305,30,9130,69.04,70,2707,14001,9,21144484,14953472,11548392,108436,631464,13107
1786486996.2557275,30,9130,69.58,71,2655,14001,7,21071876,15048796,11548816,108396,631470,13117
1786486996.7838824,30,9130,73.65,71,2677,14001,5,21097632,15061800,11549232,108348,631476,13129
1786486997.3087587,30,9130,71.48,71,2707,14001,4,20903520,15062440,11656116,107192,686417,13441
1786486997.8451009,74,9162,60.74,68,1867,14001,4,20889588,15066648,11671164,107132,687471,13463
1786486998.368851,97,9164,41.29,68,1875,14001,5,20902552,15071476,11672152,107000,687685,13496
1786486998.8899174,99,9164,50.20,68,1927,14001,6,20894952,15086508,11723788,107000,695406,13496
1786486999.4168906,96,9164,47.82,68,1845,14001,5,20889800,15093428,11725496,107000,695474,13497
1786486999.942211,30,9164,51.31,70,2677,14001,6,20826988,15105668,11770404,106996,707641,13498
1786487000.4710464,31,9164,70.36,71,2707,14001,5,20818820,15113544,11769196,106996,707641,13498
1786487001.0008993,30,9164,71.24,71,2700,14001,4,20822852,15114768,11760372,106976,707641,13505
1786487001.5320034,30,9164,70.69,71,2707,14001,6,20864044,15126524,11760788,106944,707646,13514
1786487002.0599678,29,9164,69.33,72,2700,14001,7,20885612,15132996,11758140,106940,707649,13515
1786487002.587202,30,9164,69.52,72,2700,14001,9,20860252,15136884,11758264,106932,707651,13517
1786487003.1161163,28,9164,69.79,71,2692,14001,14,20744964,15160932,11758348,106904,707663,13524
1786487003.6500146,23,9164,67.47,71,2580,14001,15,20746476,15191748,11732856,106896,708082,13700
1786487004.1803105,29,9164,65.74,72,2670,14001,10,20732096,15199988,11736688,106876,708199,13755
1786487004.704631,30,9164,71.27,72,2677,14001,7,20710632,15214744,11742508,106860,708339,13796
1786487005.2240489,1,9164,61.64,70,2452,14001,7,20601028,15223412,11888232,106836,762144,13806
1786487005.7460685,93,9164,53.07,70,1837,14001,5,20564364,15230912,11903212,106836,762571,13898
1786487006.272073,94,9164,43.83,69,1852,14001,5,20546144,15239520,11902620,106836,762583,13903
1786487006.7951047,96,9164,40.91,69,1845,14001,8,20469832,15243660,11937876,106832,769286,13958
1786487007.3192148,91,9164,52.01,70,1845,14001,14,20385592,15247096,11995504,106832,770466,14043
1786487007.8444562,49,9164,48.66,69,1875,14001,9,20375600,15248316,11995504,106832,770466,14043
1786487008.3697257,28,9164,65.96,72,2550,14001,8,20333792,15446940,11953864,106832,770969,14235
1786487008.901432,28,9164,68.80,73,2677,14001,13,20280588,15451020,11968160,106828,771339,14316
1786487009.426192,28,9164,68.48,73,2655,14001,14,20282932,15454584,11972948,106828,771526,14348
1786487009.9501047,23,9164,66.89,72,2625,14001,13,20247812,15459240,11968244,106820,771638,14369
1786487010.4745142,29,9164,66.53,73,2685,14001,12,20200608,15462624,11971076,106792,771703,14387
1786487010.9995682,29,9164,69.55,74,2655,14001,11,20186656,15474804,11973136,106768,771745,14403
1786487011.5254405,25,9164,68.77,74,2610,14001,13,20191468,15477088,11945780,106764,772248,14539
1786487012.0515912,30,9164,68.67,74,2670,14001,9,20218004,15480440,11919160,106744,773024,14734
1786487012.5763092,28,9164,69.25,74,2670,14001,7,20173036,15493716,11941032,106728,773595,14840
1786487013.1013272,0,9164,62.94,71,2265,14001,6,20007164,15511736,12028456,95300,831714,17749
1786487013.624443,81,9164,52.47,71,1845,14001,5,19976872,15514660,12176904,95300,835019,17984
1786487014.145351,97,9164,42.69,72,1852,14001,4,19955784,15514864,12179108,95300,835070,17993
