unix_s,gpu_util_pct,gpu_mem_mib,gpu_power_w,gpu_temp_c,gpu_sm_mhz,gpu_mem_mhz,amd_busy_pct,mem_available_kib,swap_free_kib,proc_rss_kib,proc_swap_kib,proc_minflt,proc_majflt
1786477989.5820577,0,2,4.45,59,180,405,15,22062036,16825676,14024,0,1292,23
1786477990.1048558,0,22,5.39,59,202,810,10,21716952,16855604,304068,0,13391,561
1786477990.6328375,0,190,10.21,60,1837,9001,6,21541880,16863560,748012,0,40751,570
1786477991.1518388,0,190,14.02,60,1755,9001,7,21554584,16865172,6220796,0,126788,570
1786477991.6731784,0,190,13.34,60,1755,9001,16,21765308,16858892,10753448,0,198567,570
1786477992.1968534,0,190,13.37,60,1755,9001,15,21825448,16860600,15769920,0,278920,570
1786477992.7309408,0,190,13.37,60,1755,9001,9,21815500,16861452,18594220,0,324751,570
1786477993.3521554,0,190,13.36,60,1755,9001,5,21791052,16862024,20763100,0,360640,570
1786477993.984045,0,190,13.36,60,1755,9001,15,21832196,16773536,21013520,0,365558,570
1786477994.6110423,0,190,13.46,60,1755,9001,18,22186388,16279904,21286380,12716,370078,572
1786477995.177986,0,190,13.59,60,1755,9001,11,22414436,15935568,21523748,88704,375125,594
1786477995.7613058,0,8106,13.59,60,1755,9001,18,22338576,15943332,21357640,87524,383091,927
1786477996.2913644,49,8106,15.02,61,1792,9001,26,22211024,16084128,21146652,87476,384816,1236
1786477996.820363,43,8106,19.44,61,1800,9001,31,22155596,16101724,20808544,87472,386298,1345
1786477997.3496492,22,9112,23.84,62,1995,9001,32,21949224,16122220,10099388,84288,424241,2162
1786477997.877168,5,9132,22.95,62,1867,9001,30,21824940,16148340,9941956,82712,449134,50995
1786477998.4000776,0,9132,21.98,62,1912,9001,25,21825908,16154964,9942240,82700,449138,51001
1786477998.922132,0,9132,21.34,62,1755,9001,25,21817464,16159420,9942324,82692,449146,51004
1786477999.4444768,0,9200,17.49,61,1755,9001,23,21543168,16183528,10097948,59288,528515,58548
1786477999.972155,1,9200,16.80,62,1852,9001,21,21543276,16195008,10432540,59288,544829,61682
1786478000.49631,1,9222,16.10,62,1785,9001,19,21348536,16194192,10645044,59204,594288,63553
1786478001.0221756,51,9222,31.31,63,1822,14001,17,21361572,16190580,11325360,59204,611594,63731
1786478001.5442111,34,9222,33.25,63,1792,14001,16,21399176,16181140,11531864,59204,625010,63925
1786478002.0693226,90,9222,35.21,64,1815,14001,15,21409844,16181668,11977128,59200,634481,64111
1786478002.5932558,75,9222,37.74,65,1837,14001,14,21428184,16184648,12020172,59200,635385,64266
1786478003.1153865,86,9256,39.12,64,1830,14001,20,21392952,16188776,12082820,59012,638275,64357
1786478003.641242,78,9256,39.11,65,1822,14001,26,21378868,16190152,12087720,59012,638361,64364
1786478004.167322,94,9256,41.34,67,1830,14001,23,21350396,16207384,12099864,59012,638568,64369
1786478004.6914265,96,9256,40.55,65,1830,14001,21,21389316,16213960,12099864,59012,638568,64369
1786478005.220549,99,9256,42.47,66,1852,14001,19,21383616,16224072,12100300,59008,638616,64370
1786478005.747362,94,9256,40.68,65,1830,14001,19,21366316,16229968,12105464,59008,638699,64372
1786478006.2756915,95,9256,42.19,65,1530,14001,18,21382108,16231700,12066312,59008,638700,64373
1786478006.8026674,93,9256,40.81,67,1830,14001,23,21355960,16243956,12073876,59008,638845,64378
1786478007.3273766,97,9256,39.73,65,1395,14001,22,21370568,16249240,12073860,59008,638845,64378
1786478007.8524823,96,9256,40.31,66,1830,14001,24,21417880,16255264,12074140,59008,638848,64381
1786478008.3756497,92,9256,40.36,66,1470,14001,22,21357760,16273116,12074140,59008,638848,64381
1786478008.8985052,94,9256,40.36,66,1837,14001,21,21346784,16274664,12074816,59008,638903,64383
1786478009.4214983,96,9256,40.53,66,1522,14001,19,21330768,16277136,12074820,59004,638903,64384
1786478009.9466786,95,9256,41.33,66,1837,14001,23,21300152,16319984,12074808,59004,638903,64384
1786478010.470675,92,9256,40.82,66,1612,14001,26,21324512,16325728,12058648,59004,638903,64384
1786478010.9915562,97,9256,40.51,67,1830,14001,25,21297580,16327584,12037520,59004,638925,64392
1786478011.51782,88,9256,40.74,67,1837,14001,30,21265040,16350164,12042672,59004,639010,64394
1786478012.0425441,96,9256,41.08,67,1800,14001,29,21343124,16351928,12042520,59004,639019,64400
1786478012.566929,94,9256,41.26,67,1822,14001,29,21324752,16360172,12042844,59004,639049,64401
1786478013.087735,91,9256,40.96,67,1822,14001,28,21311452,16368872,12042844,59004,639049,64401
1786478013.6118474,81,9256,40.81,67,1830,14001,31,21246988,16412564,12043656,59004,639059,64405
1786478014.13866,96,9256,40.74,67,1822,14001,30,21227984,16413980,12043656,59004,639059,64405
1786478014.6616998,85,9256,41.06,67,1822,14001,29,21229132,16417280,12044400,59000,639071,64407
1786478015.1847198,94,9256,41.58,68,1830,14001,32,21230128,16451504,12044380,59000,639071,64407
1786478015.7118402,92,9256,43.07,72,1837,14001,33,21189764,16454276,12044720,59000,639077,64407
1786478016.236964,93,9256,41.50,68,1830,14001,30,21273340,16458992,12044152,59000,639077,64407
1786478016.7697942,96,9256,43.70,69,1830,14001,27,21257112,16461912,12044340,59000,639082,64409
1786478017.2987733,94,9256,41.22,68,1837,14001,28,21240644,16463428,12044340,59000,639082,64409
1786478017.8211002,97,9256,41.17,68,1710,14001,24,21237784,16467604,12044576,59000,639086,64410
1786478018.3440578,87,9256,41.47,68,1822,14001,26,21168528,16470068,12044916,59000,639092,64411
1786478018.8648405,95,9256,41.31,68,1590,14001,31,21160276,16472360,12045964,58996,639108,64415
1786478019.3908286,92,9256,40.43,68,1830,14001,28,21182128,16483248,12046156,58992,639112,64416
1786478019.912948,92,9256,40.30,69,1447,14001,27,21142176,16498840,12046156,58992,639112,64416
1786478020.4408476,93,9256,41.69,71,1830,14001,23,21189912,16501512,12045976,58992,639119,64417
1786478020.963905,95,9256,41.07,69,1620,14001,27,21164540,16501956,12045976,58992,639119,64417
1786478021.4880059,91,9256,41.68,69,1822,14001,30,21117156,16556968,12046104,58992,639120,64418
1786478022.0119271,91,9256,41.05,69,1830,14001,30,21024964,16685176,12046104,58992,639120,64418
1786478022.5371835,94,9256,41.32,69,1245,14001,32,20992940,16702544,12046420,58992,639124,64419
1786478023.0619612,92,9256,41.12,69,1830,14001,33,20971004,16703040,12046420,58992,639124,64419
1786478023.5851328,96,9256,40.74,69,1260,14001,27,20966676,16708336,12046740,58992,639129,64419
1786478024.110018,91,9256,41.34,69,1822,14001,29,20981148,16725552,12046744,58988,639129,64420
1786478024.636186,94,9256,41.04,69,1237,14001,28,20982092,16733048,12046940,58984,639132,64421
1786478025.1630807,91,9256,41.37,70,1837,14001,32,20953644,16735328,12046940,58984,639132,64421
1786478025.6851432,95,9256,41.62,70,1590,14001,32,20938896,16738100,12047016,58984,639133,64422
1786478026.209372,93,9256,42.22,70,1830,14001,32,20924824,16740860,12047016,58984,639133,64422
1786478026.732276,89,9256,41.58,70,1402,14001,32,21136132,16753692,12047040,58984,639133,64423
1786478027.2561965,92,9256,41.49,70,1837,14001,30,21117272,16754916,12047140,58984,639135,64423
1786478027.7761292,97,9256,41.32,70,1305,14001,29,21100916,16755404,12047140,58984,639135,64423
1786478028.3052235,94,9256,41.30,70,1822,14001,31,20998356,16877396,12047400,58984,639141,64423
1786478028.8334987,93,9256,41.14,70,1290,14001,33,20916688,16962580,12047404,58980,639141,64424
1786478029.3592412,85,9256,40.44,70,1830,14001,34,20888992,16966148,12047788,58980,639146,64425
1786478029.8834515,93,9256,41.77,70,1305,14001,34,20860440,16972624,12047788,58980,639146,64425
1786478030.4085312,92,9258,41.96,70,1837,14001,33,20855012,16975940,12047796,58972,639146,64427
1786478030.9315028,92,9258,40.28,70,1680,14001,31,20812208,16976856,12096700,58968,639586,64428
1786478031.4552577,80,9258,41.78,72,1822,14001,29,20878820,16977172,12096884,58968,639588,64429
1786478031.9794724,96,9258,41.21,70,1837,14001,31,20838700,16978304,12157704,58916,648434,64444
1786478032.5105448,28,9258,41.66,71,1822,14001,32,20876624,16979104,12164080,58396,649795,64575
1786478033.0406418,42,9258,45.06,71,1005,14001,25,20796612,17072344,12164160,58316,649795,64595
1786478033.568524,39,9258,44.60,72,2017,14001,27,20774232,17091020,12164352,58248,649796,64613
1786478034.0953562,43,9258,44.76,71,1372,14001,25,20822228,17093256,12164468,58220,649800,64620
1786478034.6234832,39,9258,44.85,72,1912,14001,27,20790504,17095188,12164500,58188,649800,64628
1786478035.1526198,37,9258,44.87,72,1507,14001,28,20794920,17095656,12164516,58172,649804,64632
1786478035.6826105,40,9258,44.54,72,1815,14001,24,20765120,17096300,12164548,58156,649808,64636
1786478036.2156222,43,9258,44.96,72,1417,14001,21,20768980,17098152,12164688,58124,649835,64644
1786478036.7465098,41,9258,44.76,72,1755,14001,20,20750028,17098272,12164704,58112,649836,64647
